Positions,sofifa_id,short_name,Pace,Shooting,Passing,Dribbling,Defending,Physic
Forward,239207,M. Gómez,66.0,81.0,68.0,73.0,32.0,82.0
Midfielder,238794,Vinícius Jr.,95.0,70.0,71.0,87.0,29.0,66.0
Defender,237383,A. Bastoni,65.0,33.0,65.0,69.0,82.0,80.0
Midfielder,237238,S. McTominay,66.0,75.0,75.0,75.0,78.0,84.0
Midfielder,236987,B. Kamara,74.0,50.0,72.0,73.0,79.0,78.0
Goalkeeper,233306,D. Henderson,,,,,,
Midfielder,233195,X. Schlager,69.0,70.0,73.0,77.0,73.0,81.0
Forward,232293,V. Osimhen,88.0,80.0,63.0,75.0,39.0,81.0
Defender,232119,Ç. Söyüncü,76.0,46.0,60.0,67.0,80.0,80.0
Forward,231447,D. Malen,90.0,79.0,72.0,83.0,30.0,74.0
Midfielder,230767,Renato Sanches,84.0,74.0,77.0,84.0,72.0,84.0
Midfielder,229927,Gerson,74.0,64.0,79.0,80.0,78.0,77.0
Midfielder,219683,C. Tolisso,66.0,77.0,77.0,78.0,76.0,78.0
Midfielder,219953,Embarba,83.0,77.0,78.0,79.0,55.0,72.0
Defender,216189,Capa,82.0,64.0,76.0,77.0,74.0,88.0
Midfielder,185020,José Callejón,77.0,76.0,76.0,81.0,48.0,59.0
Defender,198141,Bartra,71.0,61.0,72.0,73.0,80.0,74.0
Goalkeeper,198009,M. Perin,,,,,,
Midfielder,193061,R. Pereyra,76.0,74.0,79.0,81.0,68.0,73.0
Goalkeeper,189690,Guaita,,,,,,
Midfielder,189271,F. Coquelin,68.0,67.0,76.0,80.0,78.0,79.0
Goalkeeper,189117,R. Bürki,,,,,,
Defender,187598,Rafael Tolói,66.0,47.0,58.0,64.0,82.0,80.0
Midfielder,186561,A. Ramsey,66.0,70.0,81.0,83.0,66.0,66.0
Forward,184941,A. Sánchez,78.0,76.0,78.0,83.0,43.0,68.0
Forward,199254,João Pedro,72.0,78.0,77.0,81.0,41.0,74.0
Defender,183855,A. Ogbonna,56.0,40.0,60.0,62.0,82.0,76.0
Defender,177604,Nacho Monreal,65.0,61.0,74.0,74.0,80.0,68.0
Midfielder,177388,D. Payet,69.0,77.0,83.0,82.0,38.0,67.0
Defender,176676,Marcelo,73.0,72.0,80.0,87.0,75.0,71.0
Defender,172522,D. Wass,74.0,77.0,80.0,77.0,76.0,76.0
Forward,171579,Raúl García,41.0,82.0,81.0,78.0,65.0,83.0
Defender,169588,J. Evans,52.0,32.0,61.0,60.0,83.0,77.0
Goalkeeper,215316,G. Rulli,,,,,,
Midfielder,199042,C. Aránguiz,65.0,71.0,80.0,77.0,76.0,72.0
Defender,182493,D. Godín,57.0,48.0,63.0,61.0,80.0,78.0
Defender,201143,A. Mandi,66.0,46.0,74.0,70.0,81.0,74.0
Forward,207732,Roger,77.0,82.0,63.0,77.0,41.0,74.0
Midfielder,201400,Rafinha,71.0,75.0,80.0,84.0,69.0,68.0
Midfielder,162347,João Moutinho,50.0,72.0,84.0,80.0,70.0,66.0
Goalkeeper,215223,W. Benítez,,,,,,
Defender,213661,A. Christensen,65.0,31.0,65.0,68.0,83.0,72.0
Midfielder,211117,D. Alli,68.0,78.0,78.0,82.0,65.0,75.0
Defender,210455,Jonny,75.0,53.0,71.0,76.0,79.0,69.0
Goalkeeper,209960,Pacheco,,,,,,
Forward,209519,G. Laborde,77.0,78.0,76.0,78.0,40.0,82.0
Goalkeeper,212151,T. Strakosha,,,,,,
Defender,207599,M. Keane,55.0,49.0,65.0,65.0,82.0,80.0
Midfielder,205686,T. Savanier,67.0,74.0,83.0,82.0,69.0,69.0
Defender,205600,S. Umtiti,65.0,62.0,68.0,67.0,80.0,78.0
Defender,203890,Š. Vrsaljko,79.0,55.0,73.0,74.0,78.0,77.0
Midfielder,202325,D. Demme,57.0,42.0,75.0,77.0,76.0,76.0
Midfielder,202166,J. Draxler,74.0,76.0,80.0,82.0,58.0,66.0
Midfielder,202024,R. Freuler,69.0,71.0,77.0,78.0,75.0,73.0
Defender,201922,M. Hinteregger,70.0,70.0,67.0,61.0,81.0,81.0
Defender,224490,Z. Çelik,79.0,58.0,71.0,72.0,75.0,79.0
Defender,221491,N. Elvedi,74.0,39.0,63.0,68.0,80.0,77.0
Defender,222501,T. Castagne,78.0,57.0,71.0,76.0,75.0,70.0
Defender,223597,R. Aguilar,79.0,53.0,72.0,76.0,74.0,77.0
Defender,224031,A. Marušić,86.0,66.0,67.0,74.0,75.0,79.0
Defender,224196,R. Bensebaini,73.0,59.0,72.0,75.0,77.0,80.0
Midfielder,225663,A. Golovin,81.0,72.0,79.0,83.0,67.0,69.0
Goalkeeper,225116,A. Meret,,,,,,
Defender,225508,E. Bailly,73.0,42.0,58.0,67.0,79.0,77.0
Defender,226221,Aritz Elustondo,66.0,33.0,61.0,60.0,79.0,77.0
Midfielder,226162,E. Buendía,73.0,73.0,80.0,81.0,64.0,67.0
Midfielder,220673,R. Tapia,69.0,69.0,72.0,73.0,79.0,82.0
Defender,220793,D. Sánchez,75.0,45.0,55.0,65.0,80.0,80.0
Goalkeeper,212442,José Sá,,,,,,
Defender,220523,Y. Mina,45.0,54.0,60.0,60.0,80.0,81.0
Midfielder,220253,Munir,79.0,78.0,75.0,82.0,35.0,66.0
Midfielder,219809,T. Bakayoko,64.0,48.0,68.0,74.0,77.0,84.0
Defender,219789,H. Traoré,85.0,54.0,72.0,76.0,73.0,77.0
Midfielder,218339,M. Dahoud,70.0,69.0,76.0,83.0,67.0,70.0
Midfielder,216388,A. Saint-Maximin,91.0,69.0,70.0,87.0,25.0,61.0
Defender,216150,D. Zappacosta,76.0,66.0,73.0,74.0,75.0,71.0
Defender,216145,A. Izzo,70.0,33.0,48.0,65.0,82.0,78.0
Midfielder,212404,F. Bernardeschi,79.0,71.0,80.0,83.0,61.0,65.0
Midfielder,212096,V. Grifo,70.0,74.0,79.0,81.0,41.0,62.0
Midfielder,211748,K. Demirbay,58.0,76.0,79.0,82.0,65.0,70.0
Defender,226851,B. Pavard,69.0,53.0,72.0,71.0,78.0,76.0
Midfielder,226456,Pablo Fornals,68.0,74.0,79.0,79.0,69.0,68.0
Midfielder,241637,A. Tchouaméni,72.0,69.0,75.0,77.0,77.0,82.0
Midfielder,228093,M. Thuram,82.0,78.0,70.0,79.0,48.0,77.0
Forward,228520,E. Ávila,81.0,81.0,65.0,78.0,44.0,83.0
Midfielder,252371,J. Bellingham,75.0,69.0,73.0,80.0,75.0,77.0
Defender,251809,S. Botman,60.0,36.0,59.0,61.0,80.0,84.0
Midfielder,247851,Bruno Guimarães,68.0,63.0,78.0,78.0,73.0,75.0
Defender,247204,Emerson,84.0,62.0,71.0,74.0,74.0,77.0
Defender,244067,M. Lacroix,88.0,33.0,56.0,65.0,80.0,77.0
Midfielder,243812,Rodrygo,87.0,76.0,71.0,83.0,32.0,56.0
Midfielder,211022,Rubén García,80.0,76.0,79.0,79.0,45.0,58.0
Midfielder,240679,T. Koopmeiners,65.0,72.0,79.0,72.0,76.0,77.0
Midfielder,240243,Matheus Cunha,85.0,78.0,74.0,84.0,31.0,69.0
Midfielder,239433,N. Maksimović,56.0,68.0,75.0,71.0,77.0,78.0
Defender,237942,P. Estupiñán,82.0,34.0,68.0,72.0,75.0,75.0
Midfielder,237239,E. Bardhi,75.0,81.0,78.0,82.0,63.0,56.0
Forward,236610,M. Kean,85.0,77.0,56.0,78.0,40.0,75.0
Midfielder,236480,Y. Bissouma,70.0,68.0,75.0,78.0,77.0,75.0
Goalkeeper,235073,G. Kobel,,,,,,
Midfielder,234612,J. Ikoné,89.0,70.0,74.0,83.0,35.0,60.0
Forward,234236,P. Schick,70.0,79.0,70.0,80.0,35.0,68.0
Defender,234035,Odriozola,84.0,55.0,71.0,75.0,74.0,65.0
Defender,233738,Zubeldia,68.0,67.0,75.0,73.0,79.0,81.0
Defender,232756,F. Tomori,82.0,37.0,57.0,65.0,80.0,79.0
Midfielder,232730,D. Kamada,75.0,68.0,79.0,83.0,41.0,59.0
Midfielder,232665,M. Arambarri,47.0,60.0,72.0,72.0,77.0,76.0
Defender,232580,Gabriel,68.0,36.0,60.0,58.0,80.0,80.0
Forward,232432,L. Jović,75.0,80.0,68.0,78.0,29.0,74.0
Forward,228687,K. Dolberg,73.0,81.0,69.0,77.0,30.0,68.0
Defender,211241,Rubén Peña,80.0,70.0,72.0,78.0,75.0,68.0
Forward,223578,Mata,68.0,80.0,61.0,76.0,31.0,76.0
Defender,210625,K. Mbabu,88.0,51.0,69.0,73.0,74.0,80.0
Forward,190717,M. Antonio,83.0,76.0,73.0,78.0,55.0,83.0
Defender,198230,Germán,49.0,40.0,59.0,56.0,81.0,79.0
Forward,196978,C. Wilson,80.0,78.0,66.0,78.0,41.0,77.0
Goalkeeper,194333,R. Gikiewicz,,,,,,
Midfielder,193348,X. Shaqiri,75.0,76.0,80.0,81.0,46.0,67.0
Midfielder,193198,N. Gudelj,60.0,70.0,79.0,70.0,75.0,83.0
Defender,192789,Mario Gaspar,74.0,69.0,71.0,72.0,78.0,76.0
Defender,192638,Marcos Alonso,58.0,74.0,78.0,77.0,75.0,77.0
Forward,192123,C. Wood,64.0,79.0,60.0,70.0,40.0,81.0
Midfielder,191740,Ander Herrera,65.0,70.0,77.0,79.0,78.0,75.0
Midfielder,191202,N. Matić,36.0,67.0,75.0,73.0,80.0,73.0
Midfielder,190813,S. El Shaarawy,87.0,75.0,74.0,79.0,46.0,63.0
Goalkeeper,190745,M. Silvestri,,,,,,
Midfielder,190584,Illarramendi,47.0,71.0,77.0,78.0,77.0,69.0
Midfielder,198784,A. Oxlade-Chamberlain,81.0,74.0,77.0,82.0,67.0,74.0
Forward,189805,L. de Jong,50.0,78.0,71.0,70.0,46.0,75.0
Defender,189615,A. Cresswell,70.0,60.0,75.0,76.0,77.0,68.0
Midfielder,189560,Iborra,33.0,70.0,75.0,70.0,77.0,79.0
Midfielder,186682,Montoro,45.0,64.0,75.0,72.0,75.0,70.0
Midfielder,184484,G. Sigurðsson,54.0,78.0,82.0,78.0,59.0,66.0
Forward,178509,O. Giroud,39.0,80.0,70.0,71.0,42.0,77.0
Goalkeeper,176550,D. Ospina,,,,,,
Midfielder,173221,A. Candreva,72.0,78.0,79.0,80.0,61.0,62.0
Goalkeeper,158121,B. Costil,,,,,,
Forward,156616,F. Ribéry,69.0,73.0,81.0,85.0,30.0,53.0
Midfielder,210324,J. Hofmann,75.0,72.0,80.0,79.0,57.0,66.0
Midfielder,138412,J. Milner,56.0,70.0,81.0,77.0,77.0,75.0
Midfielder,198329,Rodrigo,86.0,78.0,75.0,79.0,45.0,71.0
Defender,189682,B. Mee,62.0,42.0,58.0,63.0,81.0,78.0
Defender,198946,D. D'Ambrosio,70.0,56.0,67.0,71.0,80.0,79.0
Midfielder,204024,C. Kramer,44.0,50.0,70.0,73.0,78.0,75.0
Defender,209846,C. Günter,83.0,55.0,70.0,70.0,74.0,81.0
Forward,199354,Lucas Pérez,79.0,82.0,75.0,77.0,32.0,69.0
Forward,210315,De Tomás,75.0,82.0,68.0,81.0,35.0,68.0
Defender,208165,B. Djimsiti,68.0,39.0,59.0,50.0,82.0,79.0
Midfielder,208135,A. Doucouré,70.0,76.0,72.0,76.0,77.0,81.0
Midfielder,207494,J. Lingard,76.0,79.0,75.0,80.0,58.0,68.0
Goalkeeper,206585,Kepa,,,,,,
Forward,206467,A. Plea,71.0,82.0,77.0,79.0,39.0,74.0
Defender,205923,B. Davies,69.0,58.0,75.0,75.0,78.0,73.0
Defender,204884,B. Mendy,74.0,54.0,76.0,76.0,75.0,76.0
Defender,204259,S. Arias,77.0,53.0,70.0,76.0,77.0,74.0
Goalkeeper,204234,Edgar Badia,,,,,,
Midfielder,206545,Manu Trigueros,56.0,71.0,78.0,78.0,70.0,67.0
Defender,202935,Álvaro,64.0,33.0,59.0,58.0,80.0,82.0
Midfielder,202477,Deulofeu,88.0,73.0,73.0,83.0,30.0,64.0
Midfielder,200315,Cristian Tello,89.0,75.0,74.0,80.0,48.0,62.0
Midfielder,199503,G. Xhaka,50.0,64.0,79.0,69.0,69.0,80.0
Goalkeeper,200726,B. Lecomte,,,,,,
Midfielder,201455,G. Kondogbia,68.0,74.0,75.0,77.0,78.0,89.0
Defender,202335,E. Dier,53.0,64.0,69.0,64.0,79.0,83.0
Defender,202048,C. Coady,47.0,58.0,75.0,67.0,79.0,75.0
Midfielder,202648,Sergi Darder,66.0,75.0,78.0,79.0,71.0,71.0
Defender,202750,W. Boly,62.0,36.0,64.0,65.0,79.0,83.0
Midfielder,202857,K. Bellarabi,85.0,76.0,71.0,81.0,34.0,72.0
Defender,225341,David García,53.0,37.0,64.0,64.0,78.0,75.0
Midfielder,226789,A. Fulgini,74.0,70.0,74.0,81.0,68.0,73.0
Midfielder,225659,G. Rodríguez,54.0,56.0,66.0,66.0,80.0,77.0
Defender,225711,A. Diallo,74.0,39.0,71.0,76.0,78.0,77.0
Forward,225719,K. Iheanacho,74.0,80.0,70.0,77.0,38.0,71.0
Defender,225263,D. Ćaleta-Car,59.0,39.0,60.0,62.0,79.0,82.0
Midfielder,226766,Daniel Podence,90.0,65.0,71.0,85.0,33.0,50.0
Defender,227678,E. Konsa,77.0,39.0,62.0,71.0,79.0,75.0
Midfielder,227055,Gelson Martins,93.0,71.0,70.0,83.0,51.0,61.0
Defender,227174,M. Cash,81.0,63.0,68.0,73.0,72.0,66.0
Midfielder,227535,R. Bentancur,73.0,62.0,79.0,80.0,75.0,76.0
Defender,228881,D. Calabria,77.0,50.0,67.0,73.0,76.0,72.0
Midfielder,228336,F. Grillitsch,69.0,60.0,77.0,78.0,72.0,66.0
Goalkeeper,228413,E. Audero,,,,,,
Midfielder,224069,K. Toko Ekambi,85.0,78.0,71.0,77.0,25.0,70.0
Goalkeeper,229909,A. Lunev,,,,,,
Midfielder,224371,J. Bowen,76.0,74.0,73.0,79.0,44.0,65.0
Defender,216643,L. Dubois,72.0,59.0,75.0,73.0,76.0,74.0
Goalkeeper,224003,Sergio Herrera,,,,,,
Defender,217036,Álex Moreno,88.0,60.0,71.0,77.0,71.0,64.0
Midfielder,214092,A. Miranchuk,75.0,70.0,76.0,80.0,31.0,62.0
Forward,231352,T. Abraham,70.0,78.0,62.0,72.0,31.0,70.0
Midfielder,214097,B. Bourigeaud,70.0,74.0,79.0,77.0,66.0,73.0
Forward,215353,L. Alario,63.0,78.0,58.0,74.0,30.0,75.0
Midfielder,215590,Ayoze Pérez,77.0,73.0,72.0,80.0,58.0,67.0
Midfielder,216194,Dani García,41.0,69.0,71.0,74.0,78.0,83.0
Midfielder,216320,S. Fofana,76.0,71.0,72.0,78.0,72.0,79.0
Forward,219733,L. Ajorque,60.0,78.0,60.0,70.0,26.0,81.0
Midfielder,223273,M. Pašalić,64.0,75.0,75.0,77.0,67.0,76.0
Midfielder,219792,B. Santamaria,60.0,62.0,71.0,74.0,76.0,74.0
Midfielder,219985,M. Vecino,65.0,71.0,75.0,77.0,76.0,73.0
Forward,220883,R. Borré,81.0,77.0,72.0,78.0,44.0,76.0
Forward,221697,O. Watkins,85.0,75.0,68.0,75.0,46.0,71.0
Defender,222493,M. Friedrich,64.0,41.0,57.0,53.0,81.0,76.0
Midfielder,222558,R. Karsdorp,87.0,64.0,74.0,77.0,76.0,78.0
Midfielder,222943,Jony,82.0,69.0,77.0,78.0,52.0,65.0
Defender,231340,G. Montiel,86.0,53.0,70.0,74.0,73.0,81.0
Midfielder,244253,U. Račić,66.0,75.0,75.0,74.0,78.0,81.0
Midfielder,231410,Brahim,78.0,69.0,76.0,82.0,30.0,50.0
Midfielder,246147,M. Greenwood,84.0,78.0,73.0,79.0,39.0,68.0
Goalkeeper,241727,P. Rajković,,,,,,
Midfielder,242187,C. Baumgartner,80.0,72.0,73.0,80.0,44.0,56.0
Midfielder,242201,Luis Milla,72.0,70.0,76.0,74.0,74.0,75.0
Midfielder,243559,De Frutos,83.0,70.0,74.0,81.0,37.0,59.0
Forward,243630,J. David,85.0,76.0,71.0,78.0,25.0,70.0
Midfielder,244622,Puado,83.0,76.0,68.0,80.0,45.0,73.0
Midfielder,245630,Y. Fofana,71.0,67.0,74.0,77.0,74.0,78.0
Forward,246430,D. Vlahović,75.0,78.0,58.0,73.0,28.0,76.0
Goalkeeper,231691,A. Lafont,,,,,,
Midfielder,246646,M. Caqueret,73.0,58.0,72.0,81.0,72.0,69.0
Defender,246844,Carlos Neva,78.0,52.0,63.0,74.0,75.0,68.0
Midfielder,248243,E. Camavinga,72.0,65.0,76.0,80.0,75.0,77.0
Defender,248695,W. Fofana,74.0,37.0,55.0,64.0,80.0,78.0
Defender,252145,Nuno Mendes,85.0,57.0,68.0,74.0,74.0,72.0
Midfielder,256630,F. Wirtz,72.0,68.0,76.0,83.0,51.0,59.0
Midfielder,213874,Thiago Mendes,72.0,67.0,76.0,77.0,74.0,75.0
Defender,241184,Junior Firpo,81.0,64.0,71.0,72.0,75.0,76.0
Forward,240753,A. Gouiri,79.0,80.0,75.0,79.0,44.0,70.0
Midfielder,239817,B. Soumaré,70.0,56.0,74.0,77.0,72.0,80.0
Midfielder,239613,M. Pessina,70.0,70.0,74.0,78.0,67.0,72.0
Forward,231887,Y. Yazıcı,67.0,76.0,79.0,80.0,47.0,72.0
Midfielder,232080,J. Harrison,83.0,71.0,72.0,79.0,42.0,68.0
Midfielder,232487,W. Endo,66.0,61.0,70.0,75.0,78.0,73.0
Defender,233486,R. Le Normand,66.0,25.0,52.0,56.0,80.0,74.0
Midfielder,234060,Y. Herrera,63.0,70.0,73.0,75.0,77.0,74.0
Defender,234835,Domingos Duarte,56.0,35.0,58.0,54.0,80.0,78.0
Midfielder,235353,I. Sarr,94.0,76.0,67.0,80.0,22.0,67.0
Defender,236045,Reinildo,77.0,54.0,65.0,73.0,76.0,78.0
Defender,236355,Luiz Felipe,73.0,29.0,61.0,68.0,80.0,72.0
Forward,236791,A. Barák,66.0,76.0,77.0,78.0,62.0,72.0
Defender,237678,I. Konaté,71.0,34.0,57.0,67.0,80.0,76.0
Midfielder,238067,N. Zaniolo,83.0,74.0,71.0,80.0,61.0,82.0
Midfielder,238463,A. Haidara,70.0,72.0,76.0,80.0,68.0,70.0
Defender,238476,D. Zagadou,59.0,34.0,61.0,52.0,80.0,80.0
Midfielder,238616,Pedro Neto,87.0,74.0,69.0,81.0,31.0,59.0
Midfielder,213956,Adama Traoré,96.0,66.0,67.0,86.0,38.0,81.0
Midfielder,195096,Fransérgio,59.0,75.0,75.0,75.0,73.0,80.0
Midfielder,213577,Puertas,78.0,76.0,72.0,77.0,44.0,75.0
Forward,188335,A. Budimir,65.0,78.0,48.0,73.0,35.0,77.0
Defender,180334,Marcelo,42.0,46.0,60.0,56.0,78.0,85.0
Midfielder,183394,M. Sissoko,74.0,61.0,73.0,75.0,75.0,87.0
Defender,184392,M. Darmian,70.0,58.0,69.0,74.0,78.0,68.0
Defender,185103,A. Kolarov,63.0,74.0,79.0,74.0,79.0,74.0
Midfielder,186197,G. Kakuta,73.0,72.0,76.0,83.0,42.0,66.0
Defender,186801,C. Kouyaté,64.0,64.0,62.0,69.0,78.0,85.0
Midfielder,187936,S. Nzonzi,40.0,56.0,70.0,67.0,77.0,85.0
Forward,189053,F. Caputo,82.0,79.0,62.0,78.0,30.0,67.0
Defender,192679,Escudero,69.0,63.0,74.0,71.0,78.0,71.0
Midfielder,189125,G. Bonaventura,69.0,75.0,80.0,80.0,70.0,65.0
Midfielder,189280,A. Westwood,58.0,62.0,80.0,74.0,74.0,75.0
Forward,189505,Pedro,74.0,73.0,77.0,84.0,40.0,52.0
Midfielder,189606,J. Baumgartlinger,55.0,49.0,70.0,69.0,77.0,79.0
Defender,189881,C. Smalling,64.0,47.0,58.0,60.0,79.0,79.0
Goalkeeper,190243,M. Hitz,,,,,,
Midfielder,191180,J. Pastore,64.0,73.0,80.0,78.0,52.0,50.0
Defender,180216,S. Coleman,66.0,65.0,73.0,76.0,78.0,70.0
Midfielder,178088,Juan Mata,55.0,71.0,81.0,81.0,36.0,42.0
Midfielder,178007,Miguel Veloso,46.0,70.0,83.0,76.0,66.0,71.0
Forward,177633,Ángel,71.0,81.0,61.0,78.0,34.0,66.0
Defender,213331,J. Tah,67.0,27.0,55.0,57.0,79.0,81.0
Goalkeeper,24630,Pepe Reina,,,,,,
Forward,146439,Negredo,59.0,81.0,64.0,72.0,36.0,77.0
Defender,152908,A. Young,72.0,66.0,74.0,77.0,73.0,68.0
Forward,159261,F. Quagliarella,61.0,83.0,74.0,79.0,30.0,63.0
Goalkeeper,163155,B. Foster,,,,,,
Defender,165229,L. Koscielny,54.0,43.0,63.0,65.0,79.0,75.0
Forward,167397,Falcao,56.0,79.0,67.0,76.0,41.0,69.0
Midfielder,170368,E. Lamela,70.0,77.0,79.0,81.0,53.0,68.0
Midfielder,171897,A. Guardado,64.0,68.0,80.0,79.0,73.0,69.0
Defender,173306,C. Ansaldi,77.0,64.0,76.0,77.0,72.0,70.0
Midfielder,173909,K. Boateng,69.0,78.0,77.0,80.0,66.0,74.0
Goalkeeper,174543,C. Bravo,,,,,,
Forward,175254,F. Caicedo,74.0,78.0,70.0,75.0,44.0,80.0
Goalkeeper,176772,A. Oukidja,,,,,,
Forward,192678,Kike García,61.0,81.0,64.0,74.0,44.0,74.0
Midfielder,178213,E. Capoue,48.0,72.0,75.0,71.0,77.0,76.0
Defender,193171,Jaume Costa,73.0,61.0,71.0,73.0,77.0,68.0
Defender,208920,N. Aké,76.0,53.0,70.0,71.0,80.0,75.0
Midfielder,205966,A. Younes,74.0,68.0,74.0,86.0,38.0,59.0
Forward,206534,P. Bamford,73.0,78.0,67.0,73.0,42.0,77.0
Midfielder,206590,Moi Gómez,68.0,74.0,77.0,78.0,55.0,61.0
Midfielder,206651,Roberto Torres,67.0,78.0,79.0,76.0,65.0,72.0
Midfielder,207566,William Carvalho,40.0,60.0,75.0,68.0,74.0,84.0
Midfielder,208268,B. Cristante,55.0,71.0,76.0,75.0,75.0,78.0
Midfielder,208334,J. Hector,59.0,60.0,75.0,75.0,76.0,75.0
Midfielder,209288,F. Mollet,74.0,75.0,78.0,80.0,51.0,63.0
Defender,204614,Mário Rui,80.0,49.0,73.0,79.0,71.0,64.0
Midfielder,210537,R. Steffen,79.0,75.0,74.0,80.0,48.0,65.0
Defender,210665,M. Halstenberg,63.0,66.0,73.0,71.0,76.0,80.0
Defender,210736,Emerson,80.0,63.0,70.0,78.0,75.0,63.0
Midfielder,210881,J. McGinn,70.0,73.0,75.0,78.0,71.0,80.0
Forward,211591,M. Dembélé,78.0,77.0,63.0,73.0,30.0,82.0
Midfielder,193361,R. Soriano,69.0,75.0,78.0,79.0,67.0,71.0
Defender,212419,T. Mings,72.0,44.0,67.0,66.0,78.0,81.0
Midfielder,205192,Denis Suárez,74.0,71.0,81.0,80.0,61.0,56.0
Defender,208295,R. Saïss,58.0,56.0,69.0,70.0,79.0,77.0
Midfielder,199652,D. Praet,67.0,72.0,78.0,79.0,63.0,66.0
Defender,201042,D. Sidibé,74.0,62.0,74.0,74.0,74.0,79.0
Defender,194222,Laguardia,50.0,46.0,55.0,52.0,80.0,78.0
Defender,204082,J. Brooks,59.0,39.0,59.0,64.0,80.0,76.0
Defender,197837,D. Boyata,70.0,29.0,52.0,58.0,79.0,83.0
Midfielder,199189,R. Barkley,69.0,73.0,77.0,78.0,57.0,72.0
Midfielder,199576,Oriol Romeu,41.0,44.0,62.0,65.0,80.0,81.0
Midfielder,199715,Vitolo,76.0,76.0,76.0,77.0,41.0,72.0
Defender,199915,L. Dunk,46.0,51.0,62.0,64.0,79.0,78.0
Goalkeeper,200159,S. Ortega,,,,,,
Defender,201417,M. Doherty,68.0,64.0,73.0,75.0,75.0,76.0
Midfielder,201995,Felipe Anderson,85.0,74.0,76.0,82.0,55.0,59.0
Defender,202849,J. Vestergaard,32.0,48.0,62.0,49.0,79.0,82.0
Defender,203605,P. Kadeřábek,74.0,43.0,73.0,73.0,72.0,79.0
Defender,203747,Héctor Bellerín,83.0,51.0,69.0,77.0,73.0,65.0
Defender,203843,D. Suárez,73.0,69.0,73.0,74.0,76.0,77.0
Defender,193469,Víctor Ruiz,50.0,42.0,65.0,60.0,79.0,78.0
Midfielder,229752,D. Sow,79.0,64.0,77.0,76.0,75.0,79.0
Midfielder,230717,T. Kadewere,83.0,76.0,69.0,78.0,38.0,71.0
Defender,229971,F. Centonze,81.0,51.0,70.0,72.0,70.0,79.0
Defender,229942,A. Disasi,52.0,28.0,53.0,57.0,77.0,83.0
Defender,232144,F. Uduokhai,67.0,39.0,54.0,60.0,80.0,72.0
Forward,229167,M. Rashica,83.0,77.0,71.0,83.0,46.0,65.0
Defender,228302,Pedraza,78.0,72.0,70.0,75.0,73.0,77.0
Midfielder,230965,N. Nández,77.0,67.0,72.0,77.0,76.0,83.0
Defender,228295,R. Holding,57.0,34.0,60.0,65.0,79.0,75.0
Midfielder,230899,A. Lookman,85.0,73.0,68.0,82.0,29.0,62.0
Defender,231633,I. Diop,65.0,36.0,52.0,56.0,78.0,79.0
Midfielder,230977,M. Almirón,86.0,72.0,74.0,79.0,53.0,63.0
Midfielder,231102,L. Blas,74.0,72.0,75.0,81.0,58.0,65.0
Defender,231318,R. Perraud,74.0,72.0,75.0,74.0,72.0,73.0
Midfielder,231521,E. Palacios,55.0,73.0,74.0,77.0,72.0,71.0
Defender,231554,J. Justin,82.0,50.0,69.0,73.0,73.0,70.0
Forward,231628,Rafa Mir,72.0,79.0,64.0,71.0,45.0,76.0
Midfielder,232104,D. James,95.0,72.0,70.0,76.0,46.0,63.0
Midfielder,227508,Melero,63.0,76.0,74.0,72.0,73.0,76.0
Defender,227927,K. Walker-Peters,76.0,38.0,68.0,75.0,73.0,68.0
Forward,220502,M. Zaccagni,78.0,71.0,75.0,80.0,60.0,68.0
Defender,226637,Rubén Duarte,66.0,36.0,65.0,67.0,77.0,69.0
Defender,225793,B. Godfrey,83.0,44.0,61.0,66.0,76.0,82.0
Midfielder,232999,T. Adams,81.0,48.0,70.0,73.0,74.0,75.0
Defender,220132,Zaldúa,68.0,34.0,67.0,65.0,76.0,76.0
Defender,220421,H. Kamara,88.0,61.0,69.0,76.0,71.0,76.0
Midfielder,220621,S. Benrahma,77.0,72.0,73.0,81.0,38.0,54.0
Forward,222357,B. Embolo,85.0,73.0,70.0,74.0,51.0,82.0
Midfielder,222390,Unai López,73.0,72.0,78.0,79.0,68.0,70.0
Midfielder,222400,H. Winks,60.0,58.0,76.0,80.0,71.0,68.0
Midfielder,222509,Dani Ceballos,60.0,68.0,77.0,82.0,66.0,67.0
Goalkeeper,223550,J. Omlin,,,,,,
Midfielder,223874,V. Rongier,69.0,67.0,76.0,77.0,74.0,74.0
Goalkeeper,223898,P. Bernardoni,,,,,,
Defender,224221,J. Andersen,58.0,47.0,63.0,59.0,77.0,78.0
Midfielder,224422,J. Boga,85.0,73.0,72.0,81.0,37.0,63.0
Midfielder,225014,G. Castrovilli,74.0,65.0,75.0,82.0,66.0,68.0
Defender,225024,M. Holgate,73.0,43.0,69.0,69.0,78.0,77.0
Midfielder,225126,E. Skhiri,58.0,69.0,69.0,73.0,77.0,73.0
Midfielder,225309,N. Amiri,68.0,73.0,78.0,82.0,50.0,67.0
Defender,232440,Caio Henrique,72.0,54.0,74.0,75.0,73.0,59.0
Midfielder,246420,J. Doku,92.0,66.0,67.0,83.0,25.0,67.0
Defender,234678,J. Mæhle,89.0,56.0,68.0,72.0,66.0,78.0
Midfielder,240740,C. Hudson-Odoi,82.0,67.0,74.0,81.0,40.0,59.0
Midfielder,241096,S. Tonali,78.0,65.0,77.0,76.0,72.0,76.0
