Positions,short_name,sofifa_id,Acceleration,SprintSpeed,Pace,Agility,Balance,Vision,Penalties,Stamina,ShotPower,LongShots
Forward,M. Gómez,239207,66,66,66.0,67,57,70,72,79,81,74
Midfielder,Vinícius Jr.,238794,95,95,95.0,94,81,73,65,80,73,68
Defender,A. Bastoni,237383,62,68,65.0,58,57,57,47,81,49,25
Midfielder,S. McTominay,237238,62,69,66.0,66,60,75,60,84,85,81
Midfielder,B. Kamara,236987,74,74,74.0,66,67,74,63,78,66,63
Goalkeeper,D. Henderson,233306,51,48,,61,56,48,16,34,59,6
Midfielder,X. Schlager,233195,74,64,69.0,78,77,78,56,85,78,76
Forward,V. Osimhen,232293,83,92,88.0,77,68,65,75,80,78,72
Defender,Ç. Söyüncü,232119,69,81,76.0,64,57,55,52,70,65,44
Forward,D. Malen,231447,90,90,90.0,84,83,77,74,79,79,72
Midfielder,Renato Sanches,230767,86,83,84.0,85,89,79,68,87,89,78
Midfielder,Gerson,229927,73,74,74.0,79,81,77,67,77,69,65
Midfielder,C. Tolisso,219683,69,64,66.0,75,76,80,61,77,85,82
Midfielder,Embarba,219953,84,83,83.0,83,82,77,77,84,84,77
Defender,Capa,216189,81,83,82.0,81,86,75,54,93,83,67
Midfielder,José Callejón,185020,76,78,77.0,84,80,78,62,73,78,76
Defender,Bartra,198141,71,71,71.0,71,71,76,52,69,73,68
Goalkeeper,M. Perin,198009,57,56,,70,30,44,21,30,53,17
Midfielder,R. Pereyra,193061,79,74,76.0,76,76,79,72,87,72,74
Goalkeeper,Guaita,189690,51,52,,63,48,52,29,41,58,15
Midfielder,F. Coquelin,189271,68,68,68.0,74,77,80,52,75,75,72
Goalkeeper,R. Bürki,189117,44,50,,49,52,50,20,36,45,14
Defender,Rafael Tolói,187598,65,67,66.0,61,66,50,64,80,75,62
Midfielder,A. Ramsey,186561,63,69,66.0,73,80,82,75,65,80,77
Forward,A. Sánchez,184941,80,76,78.0,84,87,80,69,68,80,76
Forward,João Pedro,199254,74,71,72.0,72,74,80,69,75,77,73
Defender,A. Ogbonna,183855,50,61,56.0,52,51,55,39,64,68,46
Defender,Nacho Monreal,177604,62,68,65.0,69,69,71,61,69,74,61
Midfielder,D. Payet,177388,71,68,69.0,81,73,83,79,69,80,77
Defender,Marcelo,176676,74,73,73.0,80,78,78,59,67,81,70
Defender,D. Wass,172522,73,75,74.0,73,71,78,61,87,85,80
Forward,Raúl García,171579,45,37,41.0,54,61,83,85,75,85,86
Defender,J. Evans,169588,51,53,52.0,45,57,57,44,67,42,24
Goalkeeper,G. Rulli,215316,56,52,,58,50,58,24,42,59,17
Midfielder,C. Aránguiz,199042,68,63,65.0,79,86,79,75,80,78,77
Defender,D. Godín,182493,59,55,57.0,57,53,52,50,67,67,43
Defender,A. Mandi,201143,67,65,66.0,73,64,71,35,65,52,49
Forward,Roger,207732,76,77,77.0,73,75,61,82,78,83,75
Midfielder,Rafinha,201400,74,68,71.0,83,80,83,67,66,80,79
Midfielder,João Moutinho,162347,55,45,50.0,75,85,83,70,75,77,77
Goalkeeper,W. Benítez,215223,48,48,,47,45,46,25,40,54,14
Defender,A. Christensen,213661,60,69,65.0,61,60,62,36,68,31,20
Midfielder,D. Alli,211117,67,68,68.0,76,66,82,80,80,78,74
Defender,Jonny,210455,76,74,75.0,71,80,68,46,78,68,47
Goalkeeper,Pacheco,209960,48,42,,62,53,53,23,43,53,15
Forward,G. Laborde,209519,75,79,77.0,71,63,78,69,88,78,75
Goalkeeper,T. Strakosha,212151,41,46,,45,47,49,21,23,56,20
Defender,M. Keane,207599,52,58,55.0,52,59,60,48,68,58,46
Midfielder,T. Savanier,205686,70,65,67.0,86,90,84,75,78,77,80
Defender,S. Umtiti,205600,64,65,65.0,58,64,58,59,64,83,70
Defender,Š. Vrsaljko,203890,77,81,79.0,66,70,68,52,85,75,58
Midfielder,D. Demme,202325,64,52,57.0,82,88,74,58,91,62,34
Midfielder,J. Draxler,202166,76,73,74.0,80,74,81,65,68,80,78
Midfielder,R. Freuler,202024,68,69,69.0,69,62,79,61,87,73,75
Defender,M. Hinteregger,201922,65,74,70.0,63,63,65,61,76,83,71
Defender,Z. Çelik,224490,77,80,79.0,67,67,69,46,87,63,61
Defender,N. Elvedi,221491,66,81,74.0,64,55,59,37,75,50,45
Defender,T. Castagne,222501,77,78,78.0,71,66,69,27,84,62,52
Defender,R. Aguilar,223597,81,78,79.0,80,78,69,38,92,70,45
Defender,A. Marušić,224031,84,88,86.0,64,77,60,58,82,79,77
Defender,R. Bensebaini,224196,67,77,73.0,60,63,63,77,79,61,48
Midfielder,A. Golovin,225663,77,84,81.0,88,81,80,52,88,78,75
Goalkeeper,A. Meret,225116,41,48,,37,48,21,21,29,53,17
Defender,E. Bailly,225508,65,79,73.0,69,61,55,46,53,55,48
Defender,Aritz Elustondo,226221,63,68,66.0,59,57,32,43,74,39,40
Midfielder,E. Buendía,226162,75,72,73.0,80,87,84,49,68,80,72
Midfielder,R. Tapia,220673,70,68,69.0,66,76,72,68,84,78,66
Defender,D. Sánchez,220793,68,80,75.0,60,55,49,44,70,66,44
Goalkeeper,José Sá,212442,42,48,,62,40,43,11,34,47,18
Defender,Y. Mina,220523,33,54,45.0,49,32,56,53,66,68,50
Midfielder,Munir,220253,82,76,79.0,83,79,76,66,72,78,77
Midfielder,T. Bakayoko,219809,63,65,64.0,60,56,70,45,78,72,50
Defender,H. Traoré,219789,84,86,85.0,74,81,66,47,90,68,58
Midfielder,M. Dahoud,218339,78,63,70.0,87,87,79,55,90,81,77
Midfielder,A. Saint-Maximin,216388,93,90,91.0,93,87,71,58,74,80,70
Defender,D. Zappacosta,216150,75,76,76.0,71,68,68,59,79,75,72
Defender,A. Izzo,216145,66,74,70.0,64,66,33,37,78,56,44
Midfielder,F. Bernardeschi,212404,79,79,79.0,82,79,80,82,70,80,82
Midfielder,V. Grifo,212096,73,67,70.0,78,79,77,79,71,81,74
Midfielder,K. Demirbay,211748,62,54,58.0,77,78,82,70,77,79,80
Defender,B. Pavard,226851,68,69,69.0,66,66,66,51,79,71,53
Midfielder,Pablo Fornals,226456,70,66,68.0,76,75,80,55,81,77,79
Midfielder,A. Tchouaméni,241637,70,73,72.0,75,69,78,55,85,76,72
Midfielder,M. Thuram,228093,79,84,82.0,73,57,76,70,79,82,75
Forward,E. Ávila,228520,77,84,81.0,73,86,68,72,78,85,76
Midfielder,J. Bellingham,252371,78,73,75.0,81,77,78,56,87,74,69
Defender,S. Botman,251809,57,63,60.0,59,41,57,37,82,65,37
Midfielder,Bruno Guimarães,247851,66,69,68.0,71,73,82,65,84,66,67
Defender,Emerson,247204,82,85,84.0,74,67,65,48,82,77,62
Defender,M. Lacroix,244067,81,93,88.0,64,55,51,38,67,46,27
Midfielder,Rodrygo,243812,88,86,87.0,87,85,71,74,81,71,71
Midfielder,Rubén García,211022,87,74,80.0,81,86,78,69,68,76,78
Midfielder,T. Koopmeiners,240679,66,64,65.0,66,71,76,85,84,78,76
Midfielder,Matheus Cunha,240243,84,86,85.0,85,78,75,74,75,77,79
Midfielder,N. Maksimović,239433,53,58,56.0,60,56,78,50,84,72,69
Defender,P. Estupiñán,237942,81,83,82.0,76,70,56,69,79,41,42
Midfielder,E. Bardhi,237239,79,71,75.0,85,86,79,78,75,85,84
Forward,M. Kean,236610,84,85,85.0,75,79,58,65,71,84,66
Midfielder,Y. Bissouma,236480,69,71,70.0,73,77,76,58,80,82,79
Goalkeeper,G. Kobel,235073,26,26,,34,24,55,12,21,58,10
Midfielder,J. Ikoné,234612,90,89,89.0,92,82,79,70,72,75,68
Forward,P. Schick,234236,71,70,70.0,83,67,69,65,64,77,79
Defender,Odriozola,234035,83,85,84.0,75,78,63,62,78,61,59
Defender,Zubeldia,233738,60,74,68.0,70,74,74,51,83,75,68
Defender,F. Tomori,232756,78,86,82.0,73,62,40,27,73,42,45
Midfielder,D. Kamada,232730,83,69,75.0,82,80,83,71,73,65,67
Midfielder,M. Arambarri,232665,42,51,47.0,55,73,74,50,73,77,75
Defender,Gabriel,232580,62,72,68.0,51,37,59,40,67,51,30
Forward,L. Jović,232432,74,76,75.0,76,77,70,66,75,82,75
Forward,K. Dolberg,228687,69,76,73.0,72,64,77,78,73,86,79
Defender,Rubén Peña,211241,77,82,80.0,78,79,65,64,76,75,66
Forward,Mata,223578,65,70,68.0,64,39,66,76,70,79,71
Defender,K. Mbabu,210625,88,88,88.0,76,73,68,35,91,66,44
Forward,M. Antonio,190717,79,87,83.0,80,78,74,75,76,79,68
Defender,Germán,198230,42,55,49.0,37,36,56,38,76,65,21
Forward,C. Wilson,196978,77,83,80.0,75,72,70,83,76,77,68
Goalkeeper,R. Gikiewicz,194333,27,29,,38,40,48,19,20,48,13
Midfielder,X. Shaqiri,193348,77,73,75.0,83,91,80,65,65,87,81
Midfielder,N. Gudelj,193198,58,61,60.0,60,53,74,74,84,85,81
Defender,Mario Gaspar,192789,71,76,74.0,67,57,62,50,76,78,69
Defender,Marcos Alonso,192638,61,55,58.0,64,55,67,63,82,84,75
Forward,C. Wood,192123,60,68,64.0,55,59,64,81,76,81,72
Midfielder,Ander Herrera,191740,68,62,65.0,76,76,79,74,81,78,68
Midfielder,N. Matić,191202,33,39,36.0,47,47,68,64,54,84,67
Midfielder,S. El Shaarawy,190813,87,87,87.0,93,80,78,69,71,73,77
Goalkeeper,M. Silvestri,190745,58,61,,65,34,49,16,34,47,16
Midfielder,Illarramendi,190584,58,38,47.0,69,71,82,50,69,69,76
Midfielder,A. Oxlade-Chamberlain,198784,82,81,81.0,79,87,79,69,80,83,78
Forward,L. de Jong,189805,48,52,50.0,54,57,69,67,71,83,70
Defender,A. Cresswell,189615,73,67,70.0,73,81,68,59,74,71,66
Midfielder,Iborra,189560,32,33,33.0,51,35,77,69,65,79,67
Midfielder,Montoro,186682,44,45,45.0,55,52,78,62,66,76,75
Midfielder,G. Sigurðsson,184484,55,53,54.0,66,61,80,78,77,84,83
Forward,O. Giroud,178509,34,43,39.0,54,53,77,90,54,84,66
Goalkeeper,D. Ospina,176550,34,34,,44,50,50,26,29,58,12
Midfielder,A. Candreva,173221,75,69,72.0,79,80,77,69,81,87,82
Goalkeeper,B. Costil,158121,47,51,,38,45,48,15,28,58,15
Forward,F. Ribéry,156616,69,69,69.0,74,87,81,78,54,79,68
Midfielder,J. Hofmann,210324,75,75,75.0,77,77,81,71,86,68,69
Midfielder,J. Milner,138412,60,52,56.0,68,72,77,89,77,82,70
Midfielder,Rodrigo,198329,87,86,86.0,79,74,77,77,75,82,76
Defender,B. Mee,189682,61,63,62.0,63,65,60,42,67,60,39
Defender,D. D'Ambrosio,198946,74,67,70.0,72,69,58,60,80,66,58
Midfielder,C. Kramer,204024,52,38,44.0,64,54,70,47,87,54,43
Defender,C. Günter,209846,77,88,83.0,64,64,59,44,87,73,54
Forward,Lucas Pérez,199354,78,79,79.0,72,70,78,82,68,82,78
Forward,De Tomás,210315,76,74,75.0,78,76,66,78,67,84,83
Defender,B. Djimsiti,208165,69,68,68.0,44,51,56,38,78,52,30
Midfielder,A. Doucouré,208135,66,73,70.0,65,68,76,54,89,84,75
Midfielder,J. Lingard,207494,78,75,76.0,83,84,79,70,79,79,81
Goalkeeper,Kepa,206585,34,33,,41,39,57,24,37,64,14
Forward,A. Plea,206467,77,66,71.0,80,79,80,64,77,82,83
Defender,B. Davies,205923,68,69,69.0,68,68,72,54,79,65,52
Defender,B. Mendy,204884,71,76,74.0,68,64,76,50,71,79,65
Defender,S. Arias,204259,76,78,77.0,78,74,64,56,80,56,50
Goalkeeper,Edgar Badia,204234,45,43,,53,41,45,30,35,57,12
Midfielder,Manu Trigueros,206545,57,55,56.0,70,67,82,65,74,77,78
Defender,Álvaro,202935,66,62,64.0,64,71,39,36,76,65,20
Midfielder,Deulofeu,202477,89,87,88.0,90,83,74,77,69,75,70
Midfielder,Cristian Tello,200315,88,90,89.0,79,79,71,56,72,81,70
Midfielder,G. Xhaka,199503,48,52,50.0,49,61,78,63,84,90,75
Goalkeeper,B. Lecomte,200726,44,40,,36,25,41,20,34,58,10
Midfielder,G. Kondogbia,201455,67,69,68.0,73,66,79,45,82,86,83
Defender,E. Dier,202335,51,55,53.0,35,41,64,74,67,84,74
Defender,C. Coady,202048,41,51,47.0,48,54,71,60,78,68,64
Midfielder,Sergi Darder,202648,67,66,66.0,74,75,83,60,76,83,82
Defender,W. Boly,202750,54,69,62.0,51,47,61,56,67,52,23
Midfielder,K. Bellarabi,202857,85,85,85.0,82,78,75,57,71,84,77
Defender,David García,225341,53,53,53.0,39,58,52,44,72,47,25
Midfielder,A. Fulgini,226789,72,75,74.0,74,65,78,53,80,70,68
Midfielder,G. Rodríguez,225659,53,55,54.0,49,50,65,53,77,77,69
Defender,A. Diallo,225711,72,76,74.0,73,71,69,41,74,51,24
Forward,K. Iheanacho,225719,75,74,74.0,73,72,71,70,71,81,78
Defender,D. Ćaleta-Car,225263,57,60,59.0,46,58,64,38,77,67,27
Midfielder,Daniel Podence,226766,94,86,90.0,92,93,78,63,75,66,57
Defender,E. Konsa,227678,73,81,77.0,64,71,58,38,71,58,32
Midfielder,Gelson Martins,227055,93,93,93.0,91,89,73,66,88,77,69
Defender,M. Cash,227174,79,83,81.0,86,67,67,44,87,64,64
Midfielder,R. Bentancur,227535,69,77,73.0,70,68,76,64,86,69,65
Defender,D. Calabria,228881,79,76,77.0,81,79,54,48,79,62,58
Midfielder,F. Grillitsch,228336,61,75,69.0,68,65,82,50,70,65,60
Goalkeeper,E. Audero,228413,55,49,,53,51,30,22,25,55,19
Midfielder,K. Toko Ekambi,224069,83,87,85.0,78,73,73,72,76,81,73
Goalkeeper,A. Lunev,229909,58,54,,36,50,63,15,27,49,13
Midfielder,J. Bowen,224371,78,75,76.0,79,82,74,70,78,69,76
Defender,L. Dubois,216643,70,74,72.0,67,66,71,46,80,72,55
Goalkeeper,Sergio Herrera,224003,45,49,,45,45,33,32,42,56,14
Defender,Álex Moreno,217036,87,89,88.0,85,78,73,70,91,61,56
Midfielder,A. Miranchuk,214092,74,76,75.0,80,78,79,67,75,65,73
Forward,T. Abraham,231352,61,77,70.0,61,53,67,74,69,78,68
Midfielder,B. Bourigeaud,214097,71,70,70.0,72,74,78,76,84,77,76
Forward,L. Alario,215353,66,60,63.0,68,71,65,77,68,79,63
Midfielder,Ayoze Pérez,215590,79,76,77.0,81,79,76,73,79,72,69
Midfielder,Dani García,216194,44,38,41.0,66,75,71,58,92,72,73
Midfielder,S. Fofana,216320,74,77,76.0,74,69,74,56,80,77,79
Forward,L. Ajorque,219733,58,61,60.0,57,31,69,77,76,79,70
Midfielder,M. Pašalić,223273,63,65,64.0,72,54,77,61,78,78,75
Midfielder,B. Santamaria,219792,60,60,60.0,70,68,74,46,91,75,61
Midfielder,M. Vecino,219985,65,65,65.0,69,65,80,56,77,78,75
Forward,R. Borré,220883,83,79,81.0,84,81,75,71,85,80,70
Forward,O. Watkins,221697,79,89,85.0,79,73,74,60,88,75,71
Defender,M. Friedrich,222493,54,73,64.0,54,52,59,38,67,58,35
Midfielder,R. Karsdorp,222558,84,89,87.0,67,65,69,52,80,80,69
Midfielder,Jony,222943,79,85,82.0,83,77,76,59,72,69,73
Defender,G. Montiel,231340,87,85,86.0,82,71,70,75,93,65,59
Midfielder,U. Račić,244253,60,70,66.0,62,57,76,72,79,80,78
Midfielder,Brahim,231410,82,74,78.0,89,91,78,58,67,70,71
Midfielder,M. Greenwood,246147,83,84,84.0,81,76,73,67,74,83,78
Goalkeeper,P. Rajković,241727,30,18,,32,29,42,20,26,56,10
Midfielder,C. Baumgartner,242187,82,78,80.0,79,79,78,65,67,73,63
Midfielder,Luis Milla,242201,76,69,72.0,72,77,74,73,86,76,72
Midfielder,De Frutos,243559,85,81,83.0,80,79,79,58,76,79,67
Forward,J. David,243630,83,87,85.0,77,71,73,75,85,75,70
Midfielder,Puado,244622,84,83,83.0,84,77,67,70,83,78,75
Midfielder,Y. Fofana,245630,71,71,71.0,72,77,77,64,84,76,69
Forward,D. Vlahović,246430,73,76,75.0,61,52,60,74,79,78,70
Goalkeeper,A. Lafont,231691,48,45,,60,53,47,16,40,52,9
Midfielder,M. Caqueret,246646,76,71,73.0,87,85,79,53,86,63,59
Defender,Carlos Neva,246844,79,78,78.0,76,68,51,48,80,65,50
Midfielder,E. Camavinga,248243,73,71,72.0,80,76,77,62,80,72,64
Defender,W. Fofana,248695,68,79,74.0,61,58,47,48,73,48,37
Defender,Nuno Mendes,252145,82,88,85.0,82,76,59,45,81,80,63
Midfielder,F. Wirtz,256630,76,68,72.0,85,81,83,60,78,66,65
Midfielder,Thiago Mendes,213874,69,75,72.0,77,77,77,60,78,78,73
Defender,Junior Firpo,241184,82,81,81.0,63,61,66,38,80,68,59
Forward,A. Gouiri,240753,82,77,79.0,77,73,76,76,74,78,79
Midfielder,B. Soumaré,239817,71,69,70.0,69,69,78,52,83,64,58
Midfielder,M. Pessina,239613,70,70,70.0,79,65,80,56,83,66,66
Forward,Y. Yazıcı,231887,63,70,67.0,73,69,79,69,76,81,80
Midfielder,J. Harrison,232080,84,82,83.0,82,81,76,64,85,75,68
Midfielder,W. Endo,232487,73,60,66.0,71,76,75,62,80,71,68
Defender,R. Le Normand,233486,62,70,66.0,38,53,31,34,60,40,22
Midfielder,Y. Herrera,234060,62,64,63.0,61,65,76,59,73,75,71
Defender,Domingos Duarte,234835,55,56,56.0,36,43,44,45,74,50,31
Midfielder,I. Sarr,235353,94,94,94.0,78,74,68,58,73,82,78
Defender,Reinildo,236045,74,79,77.0,70,71,60,40,82,58,46
Defender,Luiz Felipe,236355,70,75,73.0,65,46,58,44,58,44,26
Forward,A. Barák,236791,68,64,66.0,68,59,79,66,84,81,78
Defender,I. Konaté,237678,67,75,71.0,60,54,51,41,61,45,31
Midfielder,N. Zaniolo,238067,82,84,83.0,78,81,76,60,74,79,72
Midfielder,A. Haidara,238463,74,67,70.0,78,75,77,62,81,77,77
Defender,D. Zagadou,238476,51,66,59.0,39,34,59,30,65,66,25
Midfielder,Pedro Neto,238616,86,87,87.0,86,86,73,62,72,76,74
Midfielder,Adama Traoré,213956,97,96,96.0,85,88,67,47,77,78,65
Midfielder,Fransérgio,195096,55,63,59.0,66,52,75,73,87,83,77
Midfielder,Puertas,213577,77,78,78.0,77,72,73,65,76,81,71
Forward,A. Budimir,188335,61,68,65.0,56,33,39,65,68,78,71
Defender,Marcelo,180334,43,42,42.0,40,45,58,51,74,74,30
Midfielder,M. Sissoko,183394,65,81,74.0,64,58,68,60,85,83,59
Defender,M. Darmian,184392,70,70,70.0,77,77,65,45,75,69,56
Defender,A. Kolarov,185103,62,63,63.0,61,58,74,80,67,95,86
Midfielder,G. Kakuta,186197,75,71,73.0,89,85,80,79,70,78,72
Defender,C. Kouyaté,186801,61,66,64.0,62,54,65,52,87,74,63
Midfielder,S. Nzonzi,187936,41,40,40.0,35,31,72,57,84,62,59
Forward,F. Caputo,189053,81,82,82.0,85,79,65,78,70,76,70
Defender,Escudero,192679,66,72,69.0,70,71,66,66,72,80,63
Midfielder,G. Bonaventura,189125,69,69,69.0,75,80,80,68,69,84,81
Midfielder,A. Westwood,189280,63,53,58.0,74,78,77,64,86,76,65
Forward,Pedro,189505,84,66,74.0,90,90,81,66,68,75,75
Midfielder,J. Baumgartlinger,189606,54,55,55.0,64,65,64,59,82,73,39
Defender,C. Smalling,189881,52,73,64.0,55,43,56,52,67,42,35
Goalkeeper,M. Hitz,190243,41,46,,41,31,25,22,38,59,12
Midfielder,J. Pastore,191180,66,62,64.0,77,75,84,68,33,78,74
Defender,S. Coleman,180216,66,66,66.0,73,74,70,55,71,75,66
Midfielder,Juan Mata,178088,61,50,55.0,76,89,82,80,53,72,69
Midfielder,Miguel Veloso,178007,45,47,46.0,66,75,80,73,71,80,80
Forward,Ángel,177633,71,71,71.0,72,75,62,69,55,79,78
Defender,J. Tah,213331,63,71,67.0,48,38,56,38,64,44,25
Goalkeeper,Pepe Reina,24630,43,49,,50,60,65,24,34,59,15
Forward,Negredo,146439,58,60,59.0,66,65,68,80,61,84,80
Defender,A. Young,152908,79,67,72.0,75,76,68,60,68,74,63
Forward,F. Quagliarella,159261,58,63,61.0,71,76,77,85,61,84,84
Goalkeeper,B. Foster,163155,47,44,,45,50,41,41,32,55,14
Defender,L. Koscielny,165229,53,54,54.0,59,60,56,51,63,54,47
Forward,Falcao,167397,59,54,56.0,73,77,63,81,60,78,74
Midfielder,E. Lamela,170368,74,67,70.0,77,75,78,75,61,81,80
Midfielder,A. Guardado,171897,67,62,64.0,79,87,82,70,81,73,73
Defender,C. Ansaldi,173306,77,77,77.0,76,69,75,52,76,73,69
Midfielder,K. Boateng,173909,66,72,69.0,72,70,78,68,54,84,78
Goalkeeper,C. Bravo,174543,58,54,,63,62,69,23,39,63,17
Forward,F. Caicedo,175254,73,74,74.0,59,67,68,73,59,84,70
Goalkeeper,A. Oukidja,176772,48,45,,54,58,31,24,35,52,19
Forward,Kike García,192678,61,61,61.0,62,51,67,70,66,81,79
Midfielder,E. Capoue,178213,50,47,48.0,33,58,77,54,77,77,74
Defender,Jaume Costa,193171,74,72,73.0,71,73,57,56,63,75,64
Defender,N. Aké,208920,80,73,76.0,72,68,66,53,74,63,56
Midfielder,A. Younes,205966,78,70,74.0,90,94,76,58,72,73,62
Forward,P. Bamford,206534,71,75,73.0,69,66,71,74,91,80,69
Midfielder,Moi Gómez,206590,69,67,68.0,76,73,77,59,78,74,75
Midfielder,Roberto Torres,206651,73,62,67.0,67,68,80,77,78,82,79
Midfielder,William Carvalho,207566,36,43,40.0,49,43,79,60,81,71,56
Midfielder,B. Cristante,208268,58,53,55.0,62,54,74,58,81,80,73
Midfielder,J. Hector,208334,67,53,59.0,68,68,74,65,78,69,61
Midfielder,F. Mollet,209288,76,72,74.0,81,89,80,63,76,85,80
Defender,Mário Rui,204614,84,77,80.0,88,86,66,60,81,69,73
Midfielder,R. Steffen,210537,84,74,79.0,90,91,73,55,76,77,75
Defender,M. Halstenberg,210665,64,62,63.0,61,59,65,73,82,79,69
Defender,Emerson,210736,83,78,80.0,75,76,57,55,70,80,77
Midfielder,J. McGinn,210881,73,67,70.0,77,80,76,55,90,83,73
Forward,M. Dembélé,211591,75,81,78.0,74,66,69,76,79,82,66
Midfielder,R. Soriano,193361,68,70,69.0,80,77,82,62,82,77,77
Defender,T. Mings,212419,62,81,72.0,55,46,57,45,72,61,42
Midfielder,Denis Suárez,205192,74,74,74.0,81,75,85,63,65,74,72
Defender,R. Saïss,208295,52,63,58.0,61,60,71,47,73,67,58
Midfielder,D. Praet,199652,68,67,67.0,74,67,79,56,74,76,78
Defender,D. Sidibé,201042,71,76,74.0,70,69,68,43,86,69,68
Defender,Laguardia,194222,46,54,50.0,40,54,46,40,70,57,33
Defender,J. Brooks,204082,53,64,59.0,55,51,59,45,61,50,29
Defender,D. Boyata,197837,68,72,70.0,64,62,32,13,73,55,25
Midfielder,R. Barkley,199189,68,69,69.0,65,61,78,65,65,81,80
Midfielder,Oriol Romeu,199576,50,34,41.0,54,59,56,54,74,75,48
Midfielder,Vitolo,199715,73,78,76.0,71,60,77,74,73,77,75
Defender,L. Dunk,199915,39,52,46.0,38,39,58,36,68,72,67
Goalkeeper,S. Ortega,200159,51,53,,42,54,60,24,33,65,12
Defender,M. Doherty,201417,69,68,68.0,67,67,68,48,81,76,63
Midfielder,Felipe Anderson,201995,85,85,85.0,84,86,76,53,65,82,79
Defender,J. Vestergaard,202849,30,34,32.0,29,28,60,59,66,83,47
Defender,P. Kadeřábek,203605,78,70,74.0,66,67,72,54,83,66,41
Defender,Héctor Bellerín,203747,82,84,83.0,78,77,66,62,75,52,43
Defender,D. Suárez,203843,72,73,73.0,71,72,62,67,78,83,71
Defender,Víctor Ruiz,193469,51,50,50.0,47,53,60,46,73,59,38
Midfielder,D. Sow,229752,76,81,79.0,75,71,74,58,85,69,65
Midfielder,T. Kadewere,230717,82,83,83.0,82,74,74,73,77,78,68
Defender,F. Centonze,229971,79,82,81.0,71,73,69,50,93,64,54
Defender,A. Disasi,229942,51,53,52.0,34,35,51,36,70,54,17
Defender,F. Uduokhai,232144,66,68,67.0,67,63,49,38,63,62,35
Forward,M. Rashica,229167,93,75,83.0,90,82,70,73,76,85,76
Defender,Pedraza,228302,78,78,78.0,77,64,66,64,83,78,69
Midfielder,N. Nández,230965,76,77,77.0,82,81,74,55,93,74,65
Defender,R. Holding,228295,55,58,57.0,54,61,57,38,68,48,27
Midfielder,A. Lookman,230899,87,83,85.0,90,85,72,62,75,77,70
Defender,I. Diop,231633,60,69,65.0,52,47,43,44,69,50,31
Midfielder,M. Almirón,230977,88,85,86.0,86,64,76,69,81,78,65
Midfielder,L. Blas,231102,79,70,74.0,80,78,76,71,75,74,78
Defender,R. Perraud,231318,74,74,74.0,73,80,71,60,86,84,78
Midfielder,E. Palacios,231521,74,39,55.0,78,79,78,63,83,81,76
Defender,J. Justin,231554,78,85,82.0,72,70,67,43,77,54,40
Forward,Rafa Mir,231628,72,72,72.0,62,66,59,75,71,82,76
Midfielder,D. James,232104,96,95,95.0,85,83,68,64,83,79,69
Midfielder,Melero,227508,61,65,63.0,61,64,76,78,79,76,75
Defender,K. Walker-Peters,227927,78,74,76.0,72,80,64,32,78,38,41
Forward,M. Zaccagni,220502,80,76,78.0,79,73,77,61,72,72,71
Defender,Rubén Duarte,226637,68,64,66.0,64,65,37,40,68,51,33
Defender,B. Godfrey,225793,74,90,83.0,70,66,56,44,80,53,55
Midfielder,T. Adams,232999,78,83,81.0,79,85,74,51,86,51,46
Defender,Zaldúa,220132,69,68,68.0,63,71,50,32,80,48,40
Defender,H. Kamara,220421,89,88,88.0,83,92,66,46,84,68,57
Midfielder,S. Benrahma,220621,79,76,77.0,85,77,77,69,69,75,73
Forward,B. Embolo,222357,83,86,85.0,67,67,72,66,79,84,71
Midfielder,Unai López,222390,75,71,73.0,84,88,77,46,80,76,75
Midfielder,H. Winks,222400,68,53,60.0,83,82,76,51,76,63,60
Midfielder,Dani Ceballos,222509,66,55,60.0,79,77,76,55,75,76,72
Goalkeeper,J. Omlin,223550,49,51,,32,51,48,27,35,55,18
Midfielder,V. Rongier,223874,71,68,69.0,77,89,74,65,82,75,68
Goalkeeper,P. Bernardoni,223898,31,27,,21,34,21,19,36,55,16
Defender,J. Andersen,224221,55,60,58.0,48,58,61,44,69,73,43
Midfielder,J. Boga,224422,90,81,85.0,88,82,68,55,68,80,75
Midfielder,G. Castrovilli,225014,75,74,74.0,84,80,76,56,78,65,62
Defender,M. Holgate,225024,70,75,73.0,67,64,62,40,76,55,42
Midfielder,E. Skhiri,225126,61,55,58.0,74,64,65,58,91,75,72
Midfielder,N. Amiri,225309,76,61,68.0,82,78,78,65,80,82,77
Defender,Caio Henrique,232440,74,71,72.0,75,75,71,48,80,60,58
Midfielder,J. Doku,246420,94,90,92.0,95,88,73,51,70,73,59
Defender,J. Mæhle,234678,86,91,89.0,67,64,65,33,90,65,62
Midfielder,C. Hudson-Odoi,240740,87,78,82.0,85,78,73,55,66,67,65
Midfielder,S. Tonali,241096,74,82,78.0,74,74,77,64,76,75,70
Forward,P. Daka,241202,92,94,93.0,89,74,53,75,82,76,71
Midfielder,M. Damsgaard,241508,90,81,85.0,91,86,77,47,74,71,72
Midfielder,Rafael Leão,241721,86,90,88.0,74,59,68,63,68,78,69
Goalkeeper,I. Meslier,242656,35,37,,42,25,62,11,40,55,17
Midfielder,D. McNeil,243282,74,71,72.0,76,77,75,62,78,70,71
Defender,B. Sosa,243388,78,79,79.0,72,68,73,31,78,58,44
Defender,A. Rrahmani,244263,54,69,62.0,49,47,48,34,73,60,66
