Positions,short_name,sofifa_id,Crossing,Finishing,Heading,ShortPassing,Volleys,Dribbling,Curve,LongPassing,BallControl,FKAccuracy,Passing,Shooting
Forward,Rafa Mir,231628,67,81,78,72,77,71,60,52,74,61,64.0,79.0
Midfielder,D. James,232104,75,72,44,74,58,73,74,58,76,54,70.0,72.0
Midfielder,Melero,227508,63,77,75,81,73,73,68,77,76,67,74.0,76.0
Defender,K. Walker-Peters,227927,78,35,64,73,25,74,54,62,77,31,68.0,38.0
Forward,M. Zaccagni,220502,74,73,66,79,61,82,62,76,79,48,75.0,71.0
Defender,Rubén Duarte,226637,76,28,75,77,34,64,60,65,73,62,65.0,36.0
Defender,B. Godfrey,225793,56,35,73,71,40,62,39,65,68,33,61.0,44.0
Midfielder,T. Adams,232999,55,48,65,80,33,70,52,74,73,42,70.0,48.0
Defender,Zaldúa,220132,78,25,77,78,23,60,62,58,72,41,67.0,34.0
Defender,H. Kamara,220421,71,61,55,73,47,74,64,69,74,41,69.0,61.0
Midfielder,S. Benrahma,220621,74,72,47,75,64,83,73,64,79,69,73.0,72.0
Forward,B. Embolo,222357,63,69,71,76,64,77,68,70,74,51,70.0,73.0
Midfielder,Unai López,222390,73,74,51,82,55,76,75,77,82,79,78.0,72.0
Midfielder,H. Winks,222400,65,55,50,83,50,78,73,79,80,68,76.0,58.0
Midfielder,Dani Ceballos,222509,74,65,41,80,62,83,77,77,83,67,77.0,68.0
Goalkeeper,J. Omlin,223550,24,17,24,45,15,27,21,35,31,16,,
Midfielder,V. Rongier,223874,67,63,40,81,66,75,74,80,80,69,76.0,67.0
Goalkeeper,P. Bernardoni,223898,12,13,21,28,17,16,15,24,25,18,,
Defender,J. Andersen,224221,36,40,76,78,33,53,49,80,67,36,63.0,47.0
Midfielder,J. Boga,224422,78,72,59,73,60,84,78,69,79,64,72.0,73.0
Midfielder,G. Castrovilli,225014,75,69,50,80,50,82,58,77,83,45,75.0,65.0
Defender,M. Holgate,225024,69,37,76,77,40,67,53,76,70,35,69.0,43.0
Midfielder,E. Skhiri,225126,67,69,73,74,60,73,72,71,76,55,69.0,69.0
Midfielder,N. Amiri,225309,79,69,37,77,66,85,80,78,82,71,78.0,73.0
Defender,Caio Henrique,232440,76,50,62,78,43,74,73,70,76,70,74.0,54.0
Midfielder,J. Doku,246420,68,67,37,72,54,86,60,59,78,44,67.0,66.0
Defender,J. Mæhle,234678,76,50,59,73,62,72,63,68,75,25,68.0,56.0
Midfielder,C. Hudson-Odoi,240740,75,70,53,77,59,83,73,69,80,71,74.0,67.0
Midfielder,S. Tonali,241096,72,60,69,81,60,76,74,80,79,72,77.0,65.0
Forward,P. Daka,241202,51,82,67,68,73,74,65,61,76,35,59.0,78.0
Midfielder,M. Damsgaard,241508,63,71,51,74,48,83,66,70,80,82,72.0,69.0
Midfielder,Rafael Leão,241721,70,74,58,72,65,84,72,60,80,58,68.0,73.0
Goalkeeper,I. Meslier,242656,18,11,15,40,9,20,12,37,35,10,,
Midfielder,D. McNeil,243282,81,66,59,77,57,81,77,72,80,75,77.0,68.0
Defender,B. Sosa,243388,86,36,64,74,35,76,75,72,76,55,75.0,43.0
Defender,A. Rrahmani,244263,49,43,75,64,39,59,49,60,64,21,54.0,51.0
Midfielder,S. Diop,244892,69,69,39,75,62,82,74,66,80,69,73.0,70.0
Defender,Eric García,245037,46,42,77,79,31,62,62,72,72,31,65.0,44.0
Forward,L. Suárez,245158,71,83,65,66,71,74,70,59,72,60,65.0,78.0
Midfielder,G. Reyna,245541,69,68,45,79,75,85,78,64,79,64,74.0,71.0
Midfielder,S. Chukwueze,246172,69,73,44,69,70,87,71,56,80,58,66.0,73.0
Forward,B. Dia,246242,37,80,74,68,67,77,56,44,77,43,55.0,77.0
Defender,Ibañez,247257,34,27,73,63,29,40,32,40,73,35,45.0,32.0
Defender,R. Araujo,253163,21,35,79,74,38,38,27,62,66,45,53.0,36.0
Defender,J. Amavi,219681,74,60,71,75,56,74,69,70,75,49,70.0,65.0
Defender,Gorosabel,241049,75,38,71,76,39,70,63,70,74,33,70.0,46.0
Forward,N. González,240690,66,79,80,69,68,84,59,54,83,42,64.0,71.0
Midfielder,Salvi Sánchez,234772,75,77,43,77,64,77,72,71,75,68,74.0,70.0
Forward,S. Kalajdžić,239901,59,82,86,74,68,74,50,64,78,47,66.0,73.0
Goalkeeper,Z. Steffen,234777,14,9,13,52,8,15,13,52,31,11,,
Goalkeeper,F. Müller,234833,12,11,11,32,10,18,13,28,24,12,,
Midfielder,E. Eze,235794,70,71,49,77,55,83,71,68,79,68,73.0,69.0
Midfielder,C. Ünder,235889,81,70,58,72,69,82,80,65,81,68,73.0,75.0
Midfielder,Marc Roca,235945,66,59,42,82,44,72,66,85,77,52,77.0,62.0
Defender,E. Ndicka,236403,66,38,78,76,31,76,59,74,78,30,70.0,47.0
Midfielder,A. Claude-Maurice,236477,70,71,57,76,61,80,80,74,78,69,75.0,73.0
Midfielder,M. Guendouzi,236496,67,56,65,79,55,75,76,78,77,67,75.0,63.0
Midfielder,Douglas Luiz,236499,69,64,62,78,58,75,66,77,78,63,74.0,67.0
Defender,R. Koch,236532,40,27,78,74,29,59,31,71,70,28,61.0,38.0
Midfielder,C. Stengs,236593,70,65,42,77,71,77,75,72,85,62,75.0,68.0
Midfielder,Xeka,236639,58,49,67,80,48,77,75,80,79,68,74.0,61.0
Midfielder,D. Szoboszlai,236772,78,73,58,78,79,80,88,77,83,87,79.0,78.0
Forward,M. Terrier,236786,72,78,69,78,68,76,77,72,77,58,74.0,77.0
Defender,M. Demiral,238160,31,32,73,59,42,57,48,59,59,23,47.0,39.0
Midfielder,W. McKennie,238744,65,69,80,79,75,77,67,75,76,63,74.0,71.0
Defender,J. Clauss,239093,78,66,58,72,56,76,66,63,76,54,70.0,66.0
Forward,L. Waldschmidt,220085,63,79,59,75,72,76,73,65,75,63,70.0,80.0
Goalkeeper,J. Ledesma,219522,16,14,15,33,17,16,18,26,12,15,,
Defender,L. Cabrera,192816,63,40,78,63,30,54,50,63,60,40,59.0,45.0
Midfielder,Oier,190432,64,62,59,78,44,65,61,77,77,45,72.0,64.0
Defender,C. Trimmel,193254,87,61,72,70,57,69,73,72,69,63,73.0,65.0
Forward,M. Braithwaite,193290,68,78,67,75,75,78,71,65,81,75,72.0,76.0
Defender,G. Pezzella,193601,40,48,80,64,40,54,46,56,65,25,47.0,49.0
Defender,Hugo Mallo,194229,78,28,65,71,28,62,69,61,71,38,68.0,39.0
Defender,C. Dawson,194806,65,49,82,66,29,48,45,62,67,24,59.0,47.0
Midfielder,A. Townsend,194932,78,69,48,75,72,81,80,70,79,78,75.0,74.0
Forward,Willian José,195093,54,78,80,75,73,75,68,50,79,60,66.0,78.0
Defender,M. Faraoni,195272,75,66,65,76,74,74,73,72,77,68,73.0,71.0
Midfielder,D. Caligiuri,197083,85,73,63,76,71,75,80,73,75,79,78.0,74.0
Defender,F. Lejeune,197948,51,50,76,77,42,62,47,70,73,41,61.0,57.0
Goalkeeper,M. Ryan,199005,23,11,14,40,15,13,23,45,24,12,,
Goalkeeper,M. Sels,199641,16,16,14,38,19,19,17,32,33,17,,
Goalkeeper,M. Bizot,200110,20,15,16,28,13,12,20,33,32,15,,
Midfielder,S. Rode,200215,67,61,64,76,55,72,56,74,75,52,71.0,64.0
Defender,N. Schulz,200536,77,48,60,73,49,73,59,73,73,42,72.0,51.0
Goalkeeper,C. Tătărușanu,201325,13,15,15,36,11,16,11,36,19,11,,
Defender,J. Murillo,201377,56,37,75,67,54,58,38,66,63,26,59.0,40.0
Midfielder,J. Kucka,190875,68,68,75,76,69,75,68,76,77,69,73.0,74.0
Defender,De Marcos,190149,76,64,59,79,57,75,77,68,78,53,74.0,64.0
Defender,David López,201505,55,50,78,75,55,63,50,70,74,45,66.0,58.0
Defender,Cote,190143,81,46,75,76,42,74,75,69,75,71,74.0,54.0
Goalkeeper,Diego López,146748,11,12,10,28,14,11,10,23,25,11,,
Midfielder,G. Escalante,219391,68,66,63,78,59,69,63,77,77,52,72.0,67.0
Forward,Soldado,146758,66,82,78,79,80,73,70,58,82,66,71.0,79.0
Forward,Jorge Molina,154472,52,81,80,78,81,71,62,57,76,59,67.0,81.0
Defender,Ș. Radu,165109,67,55,70,71,51,66,45,67,69,48,65.0,64.0
Goalkeeper,T. Krul,170597,13,11,19,32,16,13,13,29,25,15,,
Forward,Joselu,173608,58,81,81,78,74,75,73,58,78,62,68.0,78.0
Forward,K. Gameiro,176600,69,76,67,79,76,73,74,69,77,70,74.0,77.0
Defender,D. Da Silva,179789,49,25,80,75,36,42,38,74,69,31,59.0,37.0
Midfielder,M. Hasebe,181098,70,45,60,78,56,66,68,78,78,63,73.0,51.0
Forward,S. Jovetić,181820,72,77,74,80,79,79,84,64,81,74,76.0,79.0
Defender,Víctor Díaz,183353,77,56,76,73,35,65,65,55,72,51,68.0,56.0
Midfielder,P. Piatti,183899,77,74,71,76,71,80,78,70,75,58,74.0,74.0
Midfielder,Rochina,188103,69,74,54,78,68,82,81,81,82,77,78.0,77.0
Midfielder,M. Lanzini,188988,74,70,52,79,61,82,76,77,80,76,77.0,72.0
Forward,S. Rondón,189250,59,76,82,73,75,70,62,53,72,74,66.0,76.0
Defender,Aridane,189472,45,26,80,67,40,40,47,53,68,46,54.0,36.0
Defender,F. Ghoulam,201454,83,54,68,77,52,78,77,74,78,68,76.0,64.0
Midfielder,J. Guilavogui,198118,52,49,83,75,49,63,42,73,70,53,65.0,59.0
Midfielder,S. Armstrong,202282,72,76,66,77,62,77,75,74,76,74,75.0,77.0
Midfielder,J. Gbamin,214947,69,40,71,78,53,74,62,74,76,60,73.0,57.0
Forward,N. Maupay,211784,61,80,73,74,76,68,63,59,78,55,67.0,78.0
Midfielder,R. Gagliardini,212153,64,54,73,77,68,75,68,74,76,38,71.0,63.0
Midfielder,Y. Gerhardt,212245,69,72,57,79,57,76,69,76,78,55,75.0,71.0
Defender,A. Masuaku,212491,78,55,63,75,61,82,72,69,78,48,72.0,63.0
Midfielder,L. Dendoncker,212501,75,66,79,81,71,73,73,78,76,71,77.0,72.0
Defender,Diego Llorente,212602,55,39,78,75,31,56,30,72,77,35,62.0,40.0
Defender,T. Meunier,202371,77,70,72,71,77,75,75,72,73,56,72.0,74.0
Midfielder,A. Iwobi,213655,72,63,44,77,51,83,70,65,80,40,72.0,64.0
Midfielder,I. Marcone,215057,58,58,66,78,49,71,59,77,77,60,71.0,63.0
Midfielder,M. Elneny,211454,66,57,61,79,39,68,69,78,76,56,73.0,64.0
Forward,S. Guirassy,215441,56,80,75,73,73,76,66,63,79,67,66.0,77.0
Goalkeeper,B. Drągowski,215502,19,12,13,35,12,20,12,32,18,20,,
Forward,I. Bebou,216258,74,77,64,74,70,82,66,53,77,46,68.0,75.0
Midfielder,S. Lobotka,216435,68,64,45,84,43,77,68,77,82,55,76.0,63.0
Forward,M. Philipp,216497,68,78,50,76,78,80,68,62,80,65,71.0,79.0
Defender,J. Palomino,217196,60,26,77,66,32,56,55,60,64,36,55.0,32.0
Defender,M. Targett,218659,81,40,60,74,40,72,77,65,74,68,72.0,46.0
Defender,G. Maripán,219145,41,39,79,68,31,45,29,72,61,27,54.0,41.0
Midfielder,André Gomes,211575,65,62,69,81,69,77,81,80,81,67,76.0,67.0
Forward,Santi Mina,212623,73,79,76,71,74,77,69,65,78,55,69.0,77.0
Defender,D. Rugani,211320,40,33,79,69,35,61,45,65,64,25,55.0,40.0
Goalkeeper,Sergio Rico,206652,17,14,11,28,15,15,24,26,13,20,,
Defender,J. Roussillon,202562,74,63,64,72,57,78,75,72,78,56,72.0,65.0
Goalkeeper,A. Schwolow,202789,9,12,12,26,11,15,13,23,23,16,,
Midfielder,G. Defrel,202851,70,77,68,67,75,83,67,60,82,69,68.0,77.0
Defender,D. Foulquier,203177,74,63,68,75,45,76,58,69,74,40,70.0,63.0
Defender,J. Lascelles,203487,46,34,78,64,33,47,37,59,64,16,51.0,35.0
Defender,Clerc,204876,77,56,57,73,48,77,75,64,74,56,71.0,58.0
Defender,Y. Abdelhamid,206493,28,25,76,75,24,68,57,71,71,31,56.0,33.0
Defender,Aleix Vidal,202493,76,68,63,79,48,79,71,68,79,54,74.0,67.0
Midfielder,L. Trossard,207421,74,76,62,75,74,79,81,73,77,69,74.0,76.0
Forward,Y. Poulsen,207791,68,74,85,73,75,75,70,53,75,42,67.0,70.0
Midfielder,B. Traoré,207948,73,75,66,74,72,82,79,68,86,73,73.0,73.0
Defender,J. Veltman,208004,70,50,74,74,38,66,40,73,72,34,66.0,49.0
Midfielder,Óliver Torres,208777,73,66,52,81,63,83,80,77,84,64,78.0,67.0
Midfielder,Samu Castillejo,210617,75,67,43,76,58,82,78,70,83,69,74.0,69.0
Defender,E. Hysaj,210864,74,47,66,73,40,72,40,68,74,30,66.0,51.0
Forward,C. Bacca,207664,60,78,75,68,77,76,69,55,77,58,64.0,75.0
Forward,Borja Mayoral,228635,60,77,75,79,71,75,63,65,82,62,69.0,76.0
Goalkeeper,Robert Sanchéz,228789,12,14,15,46,15,15,12,50,37,14,,
Midfielder,O. Idrissi,228747,64,75,48,74,74,82,84,68,80,68,70.0,76.0
Defender,L. Martínez Quarta,228708,64,50,79,76,51,68,57,74,72,49,69.0,56.0
Midfielder,L. Tousart,227234,56,42,75,76,43,64,39,74,67,45,65.0,54.0
Defender,B. Henrichs,228579,74,50,63,74,53,76,73,66,75,49,71.0,53.0
Midfielder,A. Zambo Anguissa,227236,58,58,73,78,50,84,59,73,78,46,70.0,64.0
Midfielder,S. Serdar,230065,62,68,70,75,55,80,78,73,79,52,71.0,69.0
Defender,F. Guilbert,227222,75,40,72,72,32,66,58,64,71,42,67.0,48.0
Midfielder,P. Lees-Melou,230020,75,70,58,79,58,77,79,77,79,71,77.0,72.0
Midfielder,D. Lukébakio,231416,67,74,56,73,66,82,69,61,79,65,69.0,75.0
Midfielder,A. Diawara,230613,62,48,59,77,46,75,60,72,78,37,71.0,54.0
Goalkeeper,G. Larsonneur,230727,18,19,14,32,20,22,15,30,24,11,,
Defender,P. Lienhart,231366,41,24,81,69,21,59,28,62,62,40,56.0,28.0
Defender,B. White,231936,53,22,69,76,21,65,26,67,73,20,61.0,27.0
Midfielder,Isi,232498,73,76,35,74,65,75,73,72,77,74,73.0,74.0
Midfielder,R. Orsolini,233556,77,65,52,76,73,82,80,67,83,70,74.0,70.0
Midfielder,A. Ndiaye,233631,66,75,65,69,72,83,69,61,76,65,67.0,71.0
Midfielder,J. Hauge,233848,69,69,49,68,56,78,66,63,78,54,67.0,68.0
Defender,F. Dimarco,226268,82,50,58,75,77,74,82,73,76,75,75.0,61.0
Defender,J. St. Juste,226853,64,59,69,75,48,75,36,71,73,37,66.0,58.0
Midfielder,S. Amrabat,224158,59,70,61,80,68,71,69,71,82,58,70.0,71.0
Defender,T. Kehrer,226229,64,37,76,73,32,65,54,66,67,38,65.0,44.0
Midfielder,M. Malsa,220831,58,64,62,81,46,75,59,79,78,49,71.0,63.0
Midfielder,R. Sallai,234171,72,73,49,75,67,81,49,62,80,45,70.0,70.0
Goalkeeper,M. Sportiello,216065,13,18,18,32,12,19,14,19,22,21,,
Midfielder,A. El Ghazi,216433,74,77,72,73,67,78,75,54,78,73,70.0,78.0
Forward,A. Sørloth,216549,66,75,77,67,69,70,74,59,75,60,66.0,74.0
Forward,I. Slimani,217699,72,77,78,75,76,70,75,73,74,47,73.0,76.0
Defender,M. Caldara,220477,34,36,78,63,51,62,20,58,63,24,46.0,34.0
Defender,J. Bednarek,220570,44,19,77,65,20,50,23,55,59,26,53.0,22.0
Midfielder,J. Brownhill,220659,67,63,67,76,54,73,63,73,77,70,72.0,67.0
Forward,A. Armstrong,221841,62,79,66,70,68,74,69,58,74,63,66.0,77.0
Forward,C. Adams,226093,55,76,63,70,70,73,63,53,75,59,62.0,77.0
Midfielder,M. Normann,222404,67,60,58,77,49,74,70,76,76,47,72.0,64.0
Midfielder,Otávio,222715,59,48,64,76,49,70,47,69,73,49,67.0,55.0
Forward,K. Piątek,223113,51,81,77,64,74,70,60,35,75,40,53.0,77.0
Midfielder,O. Tufan,223154,62,71,62,78,55,79,71,76,74,65,73.0,73.0
Defender,A. Conti,223329,76,58,64,74,59,74,67,69,76,42,69.0,58.0
Midfielder,S. Mavididi,225783,69,75,70,71,68,79,53,66,74,42,67.0,72.0
Defender,M. Niakhaté,225859,62,34,78,69,39,67,32,66,64,36,60.0,39.0
Midfielder,D. Bouanga,225951,73,75,69,71,70,80,76,60,79,69,70.0,75.0
Midfielder,O. Mangala,234078,61,43,52,78,50,84,65,73,83,50,71.0,53.0
Defender,M. Viña,253290,78,65,56,74,55,74,68,67,75,63,71.0,62.0
Defender,Diogo Dalot,234574,78,52,69,74,44,78,74,62,75,44,70.0,60.0
Midfielder,Gonzalo Villar,244393,64,54,49,84,49,75,64,75,85,66,75.0,57.0
Forward,Loren,242348,41,80,72,73,79,75,72,41,76,53,60.0,78.0
Midfielder,M. Barrow,242374,65,76,63,73,60,80,60,58,78,56,67.0,74.0
Defender,B. Badiashile,242578,36,21,78,77,31,57,44,76,66,34,63.0,39.0
Defender,S. Bornauw,242663,57,44,80,65,26,64,41,71,67,42,60.0,45.0
Midfielder,A. Saelemaekers,242664,80,68,45,77,65,78,71,69,78,68,74.0,66.0
Midfielder,Riqui Puig,242816,60,63,49,82,56,81,66,79,83,51,75.0,61.0
Midfielder,L. Majer,244261,81,67,49,77,67,85,86,77,85,77,78.0,69.0
Goalkeeper,Luís Maximiano,244316,10,5,8,44,8,16,9,38,21,9,,
Defender,N. Aguerd,244749,43,38,79,73,31,56,43,67,68,41,60.0,45.0
Midfielder,J. Brekalo,234711,74,74,45,74,62,84,77,62,80,70,71.0,73.0
Midfielder,Trincão,244778,68,69,66,70,66,83,84,66,81,56,70.0,71.0
Defender,M. Salisu,244915,40,30,74,72,22,47,50,56,64,32,51.0,36.0
Defender,J. Todibo,245388,46,40,74,75,35,62,47,67,71,41,61.0,44.0
Midfielder,Bryan Gil,246785,77,73,34,74,62,82,68,69,78,72,72.0,67.0
Midfielder,Gabriel Martinelli,251566,72,74,72,70,61,78,70,50,77,49,67.0,69.0
Defender,S. Dest,251804,73,58,58,77,44,83,72,67,77,38,72.0,59.0
Midfielder,Ansu Fati,253004,69,80,58,72,59,79,64,69,76,45,68.0,74.0
Defender,Y. Sabaly,215699,74,43,55,73,37,71,59,60,69,38,63.0,46.0
Midfielder,P. Gueye,241707,53,37,63,76,45,70,46,72,74,35,65.0,46.0
Defender,C. Dagba,241497,72,43,54,77,39,76,63,68,78,41,70.0,53.0
Defender,Miranda,240915,77,49,71,75,35,76,60,61,76,59,68.0,57.0
Defender,Y. Atal,240754,74,70,61,72,68,81,74,68,76,54,71.0,68.0
Midfielder,J. Schouten,235149,56,52,63,76,52,75,56,75,75,33,67.0,55.0
Midfielder,D. Samassékou,235424,57,42,60,74,37,68,55,70,72,34,65.0,49.0
Defender,Pol Lirola,235875,78,60,62,72,58,77,72,70,75,30,70.0,57.0
Midfielder,Brais Méndez,235944,74,75,52,77,65,76,74,73,77,75,76.0,74.0
Midfielder,D. Brašanac,236221,64,68,64,79,52,73,60,78,78,59,73.0,70.0
Midfielder,A. Danjuma,236276,72,74,44,71,55,80,76,64,78,57,70.0,73.0
Midfielder,Melendo,236679,74,65,45,77,63,78,77,75,78,40,75.0,66.0
Midfielder,J. Kluivert,236920,71,69,52,68,67,83,72,54,79,58,67.0,72.0
Midfielder,K. Bare,237184,60,60,55,75,50,74,70,73,74,55,70.0,61.0
Defender,N. Milenković,238095,66,38,70,68,35,60,34,66,68,22,61.0,44.0
Midfielder,K. Diatta,238227,67,68,62,69,68,79,62,65,74,42,66.0,69.0
Defender,Bremer,239580,34,35,76,66,33,60,28,64,63,20,51.0,35.0
Defender,O. Kabak,239890,26,35,76,73,28,67,32,69,72,31,56.0,36.0
Forward,M. Boadu,239956,52,78,61,68,72,75,62,54,75,44,61.0,75.0
Midfielder,E. Smith Rowe,240273,70,63,36,79,55,79,67,67,80,58,73.0,64.0
Midfielder,Ander Guevara,240458,60,70,54,82,44,69,61,80,75,59,74.0,64.0
Defender,M. Olivera,240716,72,49,71,68,38,70,67,60,73,41,65.0,50.0
Forward,K. Baldé,215785,74,76,70,74,68,81,69,64,78,58,71.0,74.0
Defender,M. Kempf,210719,43,31,78,64,30,59,36,69,65,39,56.0,42.0
Forward,A. Petagna,215689,60,78,78,76,66,78,59,64,80,45,68.0,75.0
Midfielder,V. Darida,201262,70,67,60,76,65,78,78,75,78,69,74.0,70.0
Defender,K. Vogt,192641,63,50,75,80,51,67,50,85,73,62,72.0,57.0
Goalkeeper,A. Luthe,192665,14,12,15,24,12,12,15,19,14,12,,
Midfielder,M. Gonalons,193116,61,55,69,79,60,66,57,75,74,57,72.0,61.0
Goalkeeper,K. Darlow,193331,12,14,12,36,15,14,19,30,31,16,,
Defender,R. Rodríguez,193352,78,58,64,75,66,74,80,75,76,81,74.0,67.0
Midfielder,X. Chavalerin,193683,68,60,55,78,59,70,70,73,75,71,74.0,64.0
Midfielder,F. Đuričić,193881,65,67,48,79,69,79,76,76,78,69,75.0,69.0
Midfielder,A. Yarmolenko,194794,78,78,69,77,74,81,81,74,80,75,77.0,79.0
Forward,W. Khazri,194845,79,78,55,76,70,77,79,67,78,78,76.0,79.0
Goalkeeper,Joel Robles,195668,12,11,12,15,13,18,11,26,25,20,,
Midfielder,Tomás Pina,198368,58,62,69,79,59,76,65,78,78,61,72.0,66.0
Midfielder,N. Redmond,198719,70,70,33,73,55,82,72,62,79,65,70.0,72.0
Defender,N. Pallois,199393,59,44,75,69,57,59,36,68,62,41,60.0,53.0
Midfielder,Nolito,199561,76,77,56,79,65,77,83,69,78,76,77.0,76.0
Defender,Sergi Gómez,199577,45,35,76,77,37,57,49,74,70,46,64.0,40.0
Defender,M. Lowton,199633,78,52,71,74,69,72,75,73,73,46,73.0,61.0
Goalkeeper,T. Horn,200316,19,13,14,30,14,20,12,29,22,15,,
Defender,Pedro Mendes,200677,33,30,75,66,24,62,48,65,62,52,51.0,38.0
Defender,Cédric,201118,70,54,65,75,50,75,66,69,76,64,70.0,63.0
Defender,N. Araújo,192041,32,34,77,72,36,53,44,66,69,45,55.0,41.0
Midfielder,P. Groß,190765,82,72,53,80,65,76,83,79,77,77,80.0,74.0
Forward,T. Pukki,190362,45,81,63,71,74,73,53,48,77,40,60.0,76.0
Goalkeeper,A. Begović,172723,14,19,12,26,12,16,17,32,24,15,,
Goalkeeper,R. Jarstein,104389,18,13,16,29,16,17,10,31,25,14,,
Defender,Dante,158625,58,47,78,74,48,58,51,76,74,55,67.0,51.0
Midfielder,Cesc Fàbregas,162895,74,63,57,83,68,75,78,82,80,79,81.0,67.0
Goalkeeper,T. Heaton,163264,17,12,16,32,12,17,15,37,28,13,,
Midfielder,T. Walcott,164859,73,70,58,70,71,78,76,61,78,74,69.0,70.0
Defender,R. Bertrand,169705,75,50,68,76,43,76,71,69,76,66,72.0,53.0
Midfielder,J. Cork,169706,69,54,70,78,53,66,74,74,76,64,71.0,60.0
Defender,L. De Silvestri,170320,77,64,78,74,58,74,65,71,75,62,71.0,67.0
Defender,D. Criscito,173208,79,56,69,75,62,72,72,76,73,66,75.0,61.0
Midfielder,K. Strootman,189712,69,75,68,82,60,74,73,67,80,69,74.0,75.0
Midfielder,A. Ekdal,181318,70,60,62,80,66,74,74,78,79,70,76.0,65.0
Defender,M. Cáceres,182495,66,37,75,66,65,66,68,64,68,41,63.0,51.0
Midfielder,M. Albrighton,183130,84,67,45,74,72,77,80,72,77,73,76.0,68.0
Forward,E. Choupo-Moting,183569,65,74,75,75,74,81,74,63,78,44,68.0,73.0
Defender,R. Thomas,184190,42,22,79,69,18,31,39,68,68,34,54.0,33.0
Midfielder,Adrien Silva,184826,74,67,61,79,70,76,79,78,79,74,77.0,73.0
Defender,Rúben Vezo,215399,64,53,74,70,51,59,57,68,67,32,63.0,54.0
Midfielder,S. Rudy,189251,71,59,54,80,64,74,81,78,80,77,77.0,65.0
Midfielder,M. Badelj,201144,69,54,66,80,66,72,64,78,76,58,74.0,63.0
Defender,L. Ayling,186156,69,48,67,71,46,74,41,63,72,36,64.0,54.0
Defender,C. Biraghi,201389,80,58,62,75,46,73,68,75,75,60,74.0,65.0
Midfielder,D. Lazović,212127,78,64,54,73,70,78,68,68,76,74,72.0,68.0
Defender,Paulo Otávio,208001,76,51,41,70,52,78,65,61,75,46,67.0,55.0
Forward,M. Dabbur,208498,50,79,78,73,74,76,74,62,77,66,66.0,75.0
Defender,T. Foket,208509,74,50,56,70,61,72,70,69,73,57,69.0,57.0
Midfielder,A. Thomasson,208787,74,67,61,78,64,77,73,76,77,70,76.0,70.0
Defender,F. Schär,210047,65,60,81,72,61,66,66,73,71,66,70.0,67.0
Defender,R. Haps,210384,79,63,58,73,49,77,70,60,74,47,67.0,63.0
Midfielder,F. Boulaya,210438,76,69,43,75,55,83,76,70,80,75,75.0,69.0
Midfielder,M. Sanson,210896,74,71,65,77,72,76,76,78,76,68,76.0,73.0
Forward,I. Toney,212228,52,80,78,62,76,68,61,54,72,56,58.0,75.0
Midfielder,W. Hughes,206516,76,68,58,80,50,78,67,76,79,62,77.0,64.0
Midfielder,R. Andrich,212242,71,69,70,80,66,71,77,77,75,79,76.0,73.0
Forward,Hwang Ui Jo,212260,62,78,71,67,73,74,69,57,75,63,64.0,77.0
Defender,L. Augustinsson,212678,79,55,56,74,56,73,75,75,75,70,75.0,60.0
Defender,D. Amartey,212883,68,46,73,75,68,69,44,66,71,32,65.0,55.0
Defender,N. Stark,212977,52,48,80,74,48,70,43,65,70,35,64.0,52.0
Forward,D. Origi,213135,69,76,74,73,70,76,54,59,77,40,67.0,75.0
Defender,L. Kurzawa,201510,75,66,72,75,61,76,69,67,80,53,72.0,65.0
Midfielder,F. Tait,213388,74,68,42,75,63,78,74,70,77,68,73.0,69.0
Defender,Pablo Marí,206654,32,38,82,71,28,41,27,65,63,30,51.0,40.0
Defender,A. Djiku,212219,64,34,73,74,35,67,57,65,71,43,66.0,42.0
Midfielder,J. Ferri,206306,64,60,53,80,56,71,71,78,75,55,74.0,65.0
Defender,C. Taylor,204760,76,49,71,73,43,74,69,68,72,61,70.0,54.0
Goalkeeper,A. Gomis,201976,15,16,11,34,11,15,12,35,24,12,,
Midfielder,L. Milivojević,206304,74,55,75,78,50,62,73,75,76,82,75.0,67.0
Defender,J. Schmid,201982,83,57,58,75,63,77,85,69,76,87,76.0,63.0
Defender,J. Gouweleeuw,202201,60,46,71,68,49,60,45,76,66,36,65.0,58.0
Defender,D. da Costa,202429,71,51,71,64,54,70,66,64,71,49,66.0,56.0
Forward,S. Zaza,202685,52,75,77,67,78,75,69,45,75,56,61.0,76.0
Midfielder,N. Sansone,201858,69,72,63,72,74,79,76,67,81,70,71.0,72.0
Defender,T. Delaine,203741,76,45,64,72,35,74,68,70,76,45,72.0,51.0
Forward,M. Niang,204077,65,77,69,69,72,77,70,58,75,66,67.0,78.0
Defender,R. Knoche,203030,30,38,80,69,28,42,33,69,54,39,52.0,41.0
Defender,R. Fredericks,205346,73,47,56,72,51,74,64,60,71,42,66.0,51.0
Midfielder,D. Baselli,205407,74,67,64,82,73,80,79,78,83,73,78.0,72.0
Defender,Alberto Moreno,205566,78,59,61,73,40,76,66,64,78,40,68.0,66.0
Defender,M. De Sciglio,206058,77,33,68,74,41,74,75,68,75,39,70.0,46.0
Midfielder,O. Yokuşlu,205201,67,65,78,74,70,73,72,72,76,65,71.0,70.0
Midfielder,D. Cheryshev,206225,80,72,58,72,69,74,76,74,77,61,74.0,75.0
