Positions,sofifa_id,short_name,Diving,Handling,Kicking,Positioning,Reflexes,Speed,ShortPassing,LongPassing
Defender,216145,A. Izzo,12,6,10,11,12,,66,60
Midfielder,212404,F. Bernardeschi,14,15,10,13,12,,82,71
Midfielder,212096,V. Grifo,10,12,8,8,14,,77,75
Midfielder,211748,K. Demirbay,14,15,11,14,14,,78,80
Defender,226851,B. Pavard,9,7,15,7,15,,75,76
Midfielder,226456,Pablo Fornals,9,11,12,7,15,,81,78
Midfielder,241637,A. Tchouaméni,9,8,12,12,7,,80,79
Midfielder,228093,M. Thuram,11,13,14,9,15,,75,62
Forward,228520,E. Ávila,11,6,6,10,14,,71,62
Midfielder,252371,J. Bellingham,14,11,10,5,8,,79,78
Defender,251809,S. Botman,12,9,8,6,14,,72,70
Midfielder,247851,Bruno Guimarães,7,11,15,11,11,,84,82
Defender,247204,Emerson,11,13,9,10,13,,77,65
Defender,244067,M. Lacroix,14,7,12,12,11,,73,66
Midfielder,243812,Rodrygo,9,8,12,8,5,,74,60
Midfielder,211022,Rubén García,9,14,13,14,10,,80,79
Midfielder,240679,T. Koopmeiners,14,8,14,12,10,,82,83
Midfielder,240243,Matheus Cunha,8,7,13,13,11,,76,67
Midfielder,239433,N. Maksimović,14,10,15,15,13,,80,76
Defender,237942,P. Estupiñán,14,7,14,7,7,,78,62
Midfielder,237239,E. Bardhi,12,13,8,12,6,,77,74
Forward,236610,M. Kean,13,8,10,7,9,,68,39
Midfielder,236480,Y. Bissouma,12,8,8,12,8,,80,77
Goalkeeper,235073,G. Kobel,80,78,77,74,83,26.0,39,33
Midfielder,234612,J. Ikoné,9,8,13,8,14,,74,65
Forward,234236,P. Schick,11,15,8,9,14,,77,62
Defender,234035,Odriozola,11,12,10,5,14,,76,70
Defender,233738,Zubeldia,6,8,9,10,13,,81,79
Defender,232756,F. Tomori,10,13,10,11,7,,70,60
Midfielder,232730,D. Kamada,6,10,11,6,11,,80,79
Midfielder,232665,M. Arambarri,7,13,13,15,7,,79,78
Defender,232580,Gabriel,12,8,13,10,7,,75,71
Forward,232432,L. Jović,8,7,12,9,13,,72,61
Forward,228687,K. Dolberg,7,15,13,9,7,,79,60
Defender,211241,Rubén Peña,7,11,10,16,10,,78,66
Forward,223578,Mata,12,8,10,6,12,,65,51
Defender,210625,K. Mbabu,8,7,7,14,14,,69,65
Forward,190717,M. Antonio,12,13,8,14,10,,75,72
Defender,198230,Germán,14,6,6,11,9,,74,66
Forward,196978,C. Wilson,10,15,8,10,6,,72,62
Goalkeeper,194333,R. Gikiewicz,80,74,64,77,82,28.0,24,20
Midfielder,193348,X. Shaqiri,13,12,12,11,11,,80,78
Midfielder,193198,N. Gudelj,8,11,8,14,12,,84,77
Defender,192789,Mario Gaspar,9,12,8,9,15,,76,69
Defender,192638,Marcos Alonso,9,7,13,9,12,,82,71
Forward,192123,C. Wood,14,16,16,7,16,,68,48
Midfielder,191740,Ander Herrera,9,12,15,9,8,,80,77
Midfielder,191202,N. Matić,7,15,12,14,9,,82,82
Midfielder,190813,S. El Shaarawy,5,3,5,5,3,,75,66
Goalkeeper,190745,M. Silvestri,82,77,63,80,82,59.0,22,20
Midfielder,190584,Illarramendi,15,7,11,14,12,,80,79
Midfielder,198784,A. Oxlade-Chamberlain,16,9,6,9,9,,80,75
Forward,189805,L. de Jong,16,10,8,8,11,,80,62
Defender,189615,A. Cresswell,14,7,9,9,12,,77,69
Midfielder,189560,Iborra,14,11,6,15,8,,82,81
Midfielder,186682,Montoro,12,8,12,16,16,,85,83
Midfielder,184484,G. Sigurðsson,13,8,10,15,12,,82,78
Forward,178509,O. Giroud,12,15,11,6,5,,75,58
Goalkeeper,176550,D. Ospina,82,72,77,77,84,34.0,36,32
Midfielder,173221,A. Candreva,10,4,14,4,14,,81,80
Goalkeeper,158121,B. Costil,78,77,77,78,80,49.0,35,33
Forward,156616,F. Ribéry,15,6,9,7,10,,85,82
Midfielder,210324,J. Hofmann,6,6,10,10,10,,81,81
Midfielder,138412,J. Milner,12,9,10,8,6,,82,80
Midfielder,198329,Rodrigo,7,13,10,11,5,,79,62
Defender,189682,B. Mee,15,7,12,10,14,,60,61
Defender,198946,D. D'Ambrosio,9,10,15,13,15,,71,67
Midfielder,204024,C. Kramer,8,13,9,6,8,,78,73
Defender,209846,C. Günter,9,15,9,8,14,,69,64
Forward,199354,Lucas Pérez,14,8,8,10,10,,75,69
Forward,210315,De Tomás,6,11,13,7,14,,76,66
Defender,208165,B. Djimsiti,10,6,13,10,10,,68,68
Midfielder,208135,A. Doucouré,15,12,12,15,14,,79,76
Midfielder,207494,J. Lingard,14,10,8,13,9,,78,65
Goalkeeper,206585,Kepa,78,77,85,76,81,34.0,51,52
Forward,206467,A. Plea,11,15,16,12,15,,78,72
Defender,205923,B. Davies,11,7,6,7,14,,79,75
Defender,204884,B. Mendy,7,7,9,15,9,,79,69
Defender,204259,S. Arias,14,7,14,15,16,,75,72
Goalkeeper,204234,Edgar Badia,77,76,76,77,82,44.0,30,32
Midfielder,206545,Manu Trigueros,9,14,12,7,8,,80,79
Defender,202935,Álvaro,8,13,12,12,8,,74,68
Midfielder,202477,Deulofeu,12,16,14,11,11,,74,62
Midfielder,200315,Cristian Tello,15,12,9,7,13,,74,70
Midfielder,199503,G. Xhaka,7,8,11,7,13,,84,84
Goalkeeper,200726,B. Lecomte,79,77,77,79,80,42.0,17,21
Midfielder,201455,G. Kondogbia,15,10,10,8,10,,81,78
Defender,202335,E. Dier,11,14,6,13,9,,71,75
Defender,202048,C. Coady,8,15,10,12,8,,81,85
Midfielder,202648,Sergi Darder,8,9,9,8,12,,81,81
Defender,202750,W. Boly,7,8,15,10,9,,76,74
Midfielder,202857,K. Bellarabi,10,12,7,11,10,,71,59
Defender,225341,David García,11,16,7,7,8,,78,72
Midfielder,226789,A. Fulgini,12,6,11,15,14,,78,71
Midfielder,225659,G. Rodríguez,12,11,14,16,6,,75,72
Defender,225711,A. Diallo,12,7,7,7,8,,78,76
Forward,225719,K. Iheanacho,8,7,7,11,15,,77,69
Defender,225263,D. Ćaleta-Car,8,9,9,10,8,,78,78
Midfielder,226766,Daniel Podence,14,14,8,7,15,,75,70
Defender,227678,E. Konsa,14,8,11,13,9,,74,72
Midfielder,227055,Gelson Martins,12,9,7,6,9,,73,55
Defender,227174,M. Cash,15,16,13,13,8,,70,62
Midfielder,227535,R. Bentancur,8,7,14,14,12,,83,79
Defender,228881,D. Calabria,8,14,15,12,7,,72,66
Midfielder,228336,F. Grillitsch,13,12,7,14,7,,84,82
Goalkeeper,228413,E. Audero,80,73,73,76,82,53.0,29,19
Midfielder,224069,K. Toko Ekambi,10,12,12,8,14,,74,61
Goalkeeper,229909,A. Lunev,79,73,65,77,82,56.0,25,32
Midfielder,224371,J. Bowen,14,8,14,10,7,,73,67
Defender,216643,L. Dubois,13,8,8,9,16,,78,75
Goalkeeper,224003,Sergio Herrera,80,77,74,75,78,47.0,24,21
Defender,217036,Álex Moreno,15,7,12,11,9,,73,64
Midfielder,214092,A. Miranchuk,8,8,9,12,15,,78,75
Forward,231352,T. Abraham,12,7,8,13,13,,77,46
Midfielder,214097,B. Bourigeaud,14,7,15,11,15,,80,78
Forward,215353,L. Alario,8,15,7,15,15,,69,47
Midfielder,215590,Ayoze Pérez,12,12,11,14,8,,76,62
Midfielder,216194,Dani García,6,14,14,6,11,,79,80
Midfielder,216320,S. Fofana,9,8,9,11,10,,80,74
Forward,219733,L. Ajorque,8,13,14,14,7,,69,48
Midfielder,223273,M. Pašalić,11,13,13,13,14,,80,78
Midfielder,219792,B. Santamaria,7,7,13,7,8,,79,78
Midfielder,219985,M. Vecino,4,4,4,4,4,,80,77
Forward,220883,R. Borré,11,14,14,11,8,,73,69
Forward,221697,O. Watkins,14,14,14,6,10,,70,59
Defender,222493,M. Friedrich,10,13,13,15,14,,67,68
Midfielder,222558,R. Karsdorp,13,7,14,16,15,,77,73
Midfielder,222943,Jony,11,16,13,13,9,,77,75
Defender,231340,G. Montiel,6,10,11,5,6,,76,66
Midfielder,244253,U. Račić,11,12,9,14,7,,80,77
Midfielder,231410,Brahim,13,9,13,10,6,,83,74
Midfielder,246147,M. Greenwood,5,6,6,9,8,,76,69
Goalkeeper,241727,P. Rajković,77,76,74,79,81,25.0,26,25
Midfielder,242187,C. Baumgartner,10,11,9,14,11,,79,75
Midfielder,242201,Luis Milla,12,13,8,10,10,,80,75
Midfielder,243559,De Frutos,13,8,12,14,14,,74,68
Forward,243630,J. David,7,7,11,7,7,,78,70
Midfielder,244622,Puado,8,9,11,8,13,,75,64
Midfielder,245630,Y. Fofana,12,7,12,5,9,,79,77
Forward,246430,D. Vlahović,5,15,6,11,10,,68,50
Goalkeeper,231691,A. Lafont,80,76,69,74,82,47.0,54,38
Midfielder,246646,M. Caqueret,8,5,12,5,15,,81,77
Defender,246844,Carlos Neva,8,11,9,6,12,,71,52
Midfielder,248243,E. Camavinga,12,6,8,12,12,,81,77
Defender,248695,W. Fofana,14,12,9,14,6,,69,66
Defender,252145,Nuno Mendes,7,8,8,12,15,,71,68
Midfielder,256630,F. Wirtz,14,14,13,6,10,,80,73
Midfielder,213874,Thiago Mendes,14,9,12,13,8,,80,82
Defender,241184,Junior Firpo,7,7,7,14,14,,74,69
Forward,240753,A. Gouiri,6,12,8,9,7,,77,69
Midfielder,239817,B. Soumaré,11,6,13,5,10,,79,78
Midfielder,239613,M. Pessina,13,9,7,13,7,,80,74
Forward,231887,Y. Yazıcı,10,12,5,13,7,,81,75
Midfielder,232080,J. Harrison,11,8,10,6,11,,73,62
Midfielder,232487,W. Endo,9,13,7,11,5,,79,77
Defender,233486,R. Le Normand,9,13,14,15,10,,77,62
Midfielder,234060,Y. Herrera,6,7,9,14,8,,83,82
Defender,234835,Domingos Duarte,9,9,14,14,13,,78,56
Midfielder,235353,I. Sarr,14,13,7,6,9,,69,59
Defender,236045,Reinildo,6,8,13,15,7,,72,57
Defender,236355,Luiz Felipe,14,8,13,10,9,,72,66
Forward,236791,A. Barák,14,15,10,12,11,,82,76
Defender,237678,I. Konaté,9,7,9,9,15,,75,69
Midfielder,238067,N. Zaniolo,8,11,11,13,5,,77,68
Midfielder,238463,A. Haidara,7,11,8,7,10,,80,75
Defender,238476,D. Zagadou,9,13,5,14,14,,75,74
Midfielder,238616,Pedro Neto,6,13,7,12,6,,75,56
Midfielder,213956,Adama Traoré,13,9,11,12,7,,71,54
Midfielder,195096,Fransérgio,9,7,5,6,7,,77,79
Midfielder,213577,Puertas,15,10,14,12,9,,75,69
Forward,188335,A. Budimir,11,14,8,16,15,,68,30
Defender,180334,Marcelo,16,15,10,7,14,,72,77
Midfielder,183394,M. Sissoko,14,8,11,10,8,,77,75
Defender,184392,M. Darmian,6,7,7,12,7,,74,68
Defender,185103,A. Kolarov,16,15,8,16,6,,78,77
Midfielder,186197,G. Kakuta,7,12,7,14,13,,76,74
Defender,186801,C. Kouyaté,15,8,9,12,9,,69,65
Midfielder,187936,S. Nzonzi,7,16,16,16,13,,79,72
Forward,189053,F. Caputo,14,7,10,11,11,,70,58
Defender,192679,Escudero,9,15,7,13,14,,79,75
Midfielder,189125,G. Bonaventura,10,14,7,15,14,,82,79
Midfielder,189280,A. Westwood,10,13,13,7,8,,80,79
Forward,189505,Pedro,5,11,12,15,9,,80,71
Midfielder,189606,J. Baumgartlinger,9,13,10,9,14,,81,75
Defender,189881,C. Smalling,10,15,16,15,15,,65,64
Goalkeeper,190243,M. Hitz,81,74,79,77,79,43.0,29,33
Midfielder,191180,J. Pastore,14,9,6,10,12,,88,76
Defender,180216,S. Coleman,5,15,10,13,7,,77,69
Midfielder,178088,Juan Mata,9,10,14,5,8,,83,77
Midfielder,178007,Miguel Veloso,16,7,9,8,15,,84,85
Forward,177633,Ángel,6,13,8,14,11,,70,49
Defender,213331,J. Tah,11,8,7,9,14,,70,63
Goalkeeper,24630,Pepe Reina,77,78,79,79,77,45.0,37,39
Forward,146439,Negredo,11,6,11,7,13,,74,64
Defender,152908,A. Young,16,10,15,16,15,,77,65
Forward,159261,F. Quagliarella,6,7,5,4,4,,77,73
Goalkeeper,163155,B. Foster,78,77,73,78,78,46.0,36,32
Defender,165229,L. Koscielny,13,11,9,11,7,,76,72
Forward,167397,Falcao,10,13,6,9,5,,76,60
Midfielder,170368,E. Lamela,10,15,11,8,13,,80,75
Midfielder,171897,A. Guardado,7,10,10,11,10,,82,79
Defender,173306,C. Ansaldi,15,15,11,8,8,,79,76
Midfielder,173909,K. Boateng,6,11,15,16,6,,80,74
Goalkeeper,174543,C. Bravo,77,78,84,78,78,56.0,56,57
Forward,175254,F. Caicedo,7,13,7,8,10,,79,66
Goalkeeper,176772,A. Oukidja,79,73,69,78,83,47.0,25,26
Forward,192678,Kike García,7,9,8,13,13,,78,49
Midfielder,178213,E. Capoue,12,11,11,14,12,,79,78
Defender,193171,Jaume Costa,10,11,16,10,14,,78,67
Defender,208920,N. Aké,10,7,7,16,10,,77,73
Midfielder,205966,A. Younes,15,11,9,15,15,,80,72
Forward,206534,P. Bamford,9,7,11,6,16,,72,63
Midfielder,206590,Moi Gómez,12,7,16,7,7,,80,76
Midfielder,206651,Roberto Torres,7,8,15,8,14,,77,78
Midfielder,207566,William Carvalho,6,6,5,14,14,,79,77
Midfielder,208268,B. Cristante,3,5,3,3,5,,81,79
Midfielder,208334,J. Hector,9,10,10,12,14,,76,75
Midfielder,209288,F. Mollet,9,13,12,12,15,,80,78
Defender,204614,Mário Rui,13,5,9,8,14,,75,70
Midfielder,210537,R. Steffen,16,13,12,8,6,,77,67
Defender,210665,M. Halstenberg,9,15,14,10,16,,77,62
Defender,210736,Emerson,8,15,8,7,14,,77,66
Midfielder,210881,J. McGinn,9,13,12,10,12,,80,83
Forward,211591,M. Dembélé,7,13,11,10,8,,72,48
Midfielder,193361,R. Soriano,15,10,9,14,13,,79,77
Defender,212419,T. Mings,7,10,13,7,15,,73,75
Midfielder,205192,Denis Suárez,10,14,10,7,7,,84,79
Defender,208295,R. Saïss,10,16,6,11,7,,78,78
Midfielder,199652,D. Praet,6,6,10,14,10,,82,78
Defender,201042,D. Sidibé,10,16,9,12,7,,75,73
Defender,194222,Laguardia,14,12,13,9,10,,70,62
Defender,204082,J. Brooks,8,7,10,9,10,,74,74
Defender,197837,D. Boyata,11,8,13,13,8,,72,60
Midfielder,199189,R. Barkley,9,14,12,6,10,,82,80
Midfielder,199576,Oriol Romeu,12,14,10,11,16,,78,72
Midfielder,199715,Vitolo,11,16,8,14,16,,76,77
Defender,199915,L. Dunk,15,16,9,12,6,,75,75
Goalkeeper,200159,S. Ortega,73,72,86,74,85,52.0,40,55
Defender,201417,M. Doherty,15,8,12,11,9,,78,69
Midfielder,201995,Felipe Anderson,12,10,9,5,7,,77,75
Defender,202849,J. Vestergaard,16,11,11,15,10,,70,77
Defender,203605,P. Kadeřábek,10,11,14,13,7,,74,68
Defender,203747,Héctor Bellerín,8,14,14,13,12,,76,59
Defender,203843,D. Suárez,16,9,9,15,7,,75,72
Defender,193469,Víctor Ruiz,12,8,6,6,14,,72,74
Midfielder,229752,D. Sow,6,12,9,7,8,,85,78
Midfielder,230717,T. Kadewere,12,9,14,8,15,,74,60
Defender,229971,F. Centonze,14,12,9,12,13,,72,66
Defender,229942,A. Disasi,12,8,11,8,6,,71,68
Defender,232144,F. Uduokhai,6,10,10,9,14,,71,59
Forward,229167,M. Rashica,7,14,7,14,6,,71,67
Defender,228302,Pedraza,12,6,14,7,12,,72,68
Midfielder,230965,N. Nández,8,8,14,5,15,,80,72
Defender,228295,R. Holding,14,11,10,14,13,,75,61
Midfielder,230899,A. Lookman,12,12,9,15,6,,72,53
Defender,231633,I. Diop,10,7,6,14,9,,67,63
Midfielder,230977,M. Almirón,6,9,13,13,12,,77,68
Midfielder,231102,L. Blas,12,9,14,14,15,,77,74
Defender,231318,R. Perraud,6,7,10,11,13,,77,72
Midfielder,231521,E. Palacios,10,5,8,9,6,,80,78
Defender,231554,J. Justin,13,7,6,5,14,,72,65
Forward,231628,Rafa Mir,12,11,15,10,6,,72,52
Midfielder,232104,D. James,7,6,11,15,9,,74,58
Midfielder,227508,Melero,13,7,9,16,12,,81,77
Defender,227927,K. Walker-Peters,9,8,7,11,12,,73,62
Forward,220502,M. Zaccagni,13,16,14,8,7,,79,76
Defender,226637,Rubén Duarte,13,8,10,11,10,,77,65
Defender,225793,B. Godfrey,7,6,12,14,11,,71,65
Midfielder,232999,T. Adams,6,13,12,8,7,,80,74
Defender,220132,Zaldúa,7,15,14,11,11,,78,58
Defender,220421,H. Kamara,8,9,16,9,13,,73,69
Midfielder,220621,S. Benrahma,16,7,8,11,11,,75,64
Forward,222357,B. Embolo,13,6,7,7,12,,76,70
Midfielder,222390,Unai López,9,13,12,13,15,,82,77
Midfielder,222400,H. Winks,8,11,14,13,10,,83,79
Midfielder,222509,Dani Ceballos,12,15,16,7,13,,80,77
Goalkeeper,223550,J. Omlin,77,75,73,75,79,50.0,45,35
Midfielder,223874,V. Rongier,11,8,12,7,11,,81,80
Goalkeeper,223898,P. Bernardoni,78,74,73,77,82,29.0,28,24
Defender,224221,J. Andersen,13,7,9,15,14,,78,80
Midfielder,224422,J. Boga,15,8,9,14,16,,73,69
Midfielder,225014,G. Castrovilli,14,12,11,11,15,,80,77
Defender,225024,M. Holgate,13,12,9,8,16,,77,76
Midfielder,225126,E. Skhiri,15,14,8,14,14,,74,71
Midfielder,225309,N. Amiri,12,12,14,12,10,,77,78
Defender,232440,Caio Henrique,11,15,9,6,8,,78,70
Midfielder,246420,J. Doku,11,10,8,9,12,,72,59
Defender,234678,J. Mæhle,12,8,12,10,8,,73,68
Midfielder,240740,C. Hudson-Odoi,14,13,11,15,5,,77,69
Midfielder,241096,S. Tonali,13,9,8,7,7,,81,80
Forward,241202,P. Daka,8,6,9,5,11,,68,61
Midfielder,241508,M. Damsgaard,6,10,14,11,7,,74,70
Midfielder,241721,Rafael Leão,10,12,15,11,9,,72,60
Goalkeeper,242656,I. Meslier,79,76,73,73,81,36.0,40,37
Midfielder,243282,D. McNeil,6,14,14,12,14,,77,72
Defender,243388,B. Sosa,10,6,6,8,9,,74,72
Defender,244263,A. Rrahmani,12,8,13,8,7,,64,60
Midfielder,244892,S. Diop,14,13,8,9,9,,75,66
Defender,245037,Eric García,11,9,12,11,7,,79,72
Forward,245158,L. Suárez,6,8,13,11,6,,66,59
Midfielder,245541,G. Reyna,10,13,14,12,7,,79,64
Midfielder,246172,S. Chukwueze,13,7,9,7,6,,69,56
Forward,246242,B. Dia,11,10,15,14,10,,68,44
Defender,247257,Ibañez,12,7,10,6,12,,63,40
Defender,253163,R. Araujo,11,14,9,11,8,,74,62
Defender,219681,J. Amavi,11,10,11,14,12,,75,70
Defender,241049,Gorosabel,8,6,10,10,15,,76,70
Forward,240690,N. González,10,6,9,5,8,,69,54
Midfielder,234772,Salvi Sánchez,10,12,7,9,6,,77,71
Forward,239901,S. Kalajdžić,7,6,13,14,15,,74,64
Goalkeeper,234777,Z. Steffen,78,73,74,72,83,53.0,52,52
Goalkeeper,234833,F. Müller,76,74,72,73,81,43.0,32,28
Midfielder,235794,E. Eze,10,12,9,14,10,,77,68
Midfielder,235889,C. Ünder,9,13,7,9,8,,72,65
Midfielder,235945,Marc Roca,12,11,11,10,8,,82,85
Defender,236403,E. Ndicka,13,8,7,8,8,,76,74
Midfielder,236477,A. Claude-Maurice,11,13,15,14,15,,76,74
Midfielder,236496,M. Guendouzi,6,13,6,13,11,,79,78
Midfielder,236499,Douglas Luiz,12,6,13,10,7,,78,77
Defender,236532,R. Koch,9,6,15,8,6,,74,71
Midfielder,236593,C. Stengs,14,11,7,5,10,,77,72
Midfielder,236639,Xeka,7,5,11,5,6,,80,80
Midfielder,236772,D. Szoboszlai,10,10,13,10,6,,78,77
Forward,236786,M. Terrier,12,5,13,5,8,,78,72
Defender,238160,M. Demiral,15,7,13,6,11,,59,59
Midfielder,238744,W. McKennie,7,9,12,9,11,,79,75
Defender,239093,J. Clauss,15,14,15,8,15,,72,63
Forward,220085,L. Waldschmidt,14,10,7,9,16,,75,65
Goalkeeper,219522,J. Ledesma,78,77,67,74,80,46.0,33,26
Defender,192816,L. Cabrera,10,16,10,15,16,,63,63
Midfielder,190432,Oier,10,7,6,6,5,,78,77
Defender,193254,C. Trimmel,16,8,6,8,15,,70,72
Forward,193290,M. Braithwaite,14,13,11,7,8,,75,65
Defender,193601,G. Pezzella,7,9,13,10,15,,64,56
Defender,194229,Hugo Mallo,14,9,7,9,15,,71,61
Defender,194806,C. Dawson,7,8,7,7,5,,66,62
Midfielder,194932,A. Townsend,13,11,11,11,13,,75,70
Forward,195093,Willian José,15,14,16,15,8,,75,50
Defender,195272,M. Faraoni,11,8,13,12,15,,76,72
Midfielder,197083,D. Caligiuri,12,10,13,6,14,,76,73
Defender,197948,F. Lejeune,11,15,15,12,7,,77,70
Goalkeeper,199005,M. Ryan,77,75,82,76,79,53.0,40,45
Goalkeeper,199641,M. Sels,76,75,75,76,76,36.0,38,32
Goalkeeper,200110,M. Bizot,80,74,69,75,77,46.0,28,33
Midfielder,200215,S. Rode,9,8,14,7,11,,76,74
Defender,200536,N. Schulz,13,9,15,7,14,,73,73
Goalkeeper,201325,C. Tătărușanu,77,74,74,78,78,45.0,36,36
Defender,201377,J. Murillo,14,13,8,11,14,,67,66
Midfielder,190875,J. Kucka,14,8,9,15,8,,76,76
Defender,190149,De Marcos,8,6,13,15,9,,79,68
Defender,201505,David López,9,12,7,11,15,,75,70
Defender,190143,Cote,12,13,10,16,13,,76,69
Goalkeeper,146748,Diego López,73,76,71,79,75,44.0,28,23
Midfielder,219391,G. Escalante,10,12,7,12,11,,78,77
Forward,146758,Soldado,13,13,14,9,6,,79,58
Forward,154472,Jorge Molina,6,14,8,13,14,,78,57
Defender,165109,Ș. Radu,9,12,12,6,13,,71,67
Goalkeeper,170597,T. Krul,77,75,71,77,79,40.0,32,29
Forward,173608,Joselu,11,11,8,15,7,,78,58
Forward,176600,K. Gameiro,6,10,8,8,6,,79,69
Defender,179789,D. Da Silva,6,8,12,16,11,,75,74
Midfielder,181098,M. Hasebe,10,12,10,15,9,,78,78
Forward,181820,S. Jovetić,9,7,5,9,10,,80,64
Defender,183353,Víctor Díaz,10,12,5,9,8,,73,55
Midfielder,183899,P. Piatti,10,8,13,8,10,,76,70
Midfielder,188103,Rochina,7,16,11,13,13,,78,81
Midfielder,188988,M. Lanzini,14,9,6,7,15,,79,77
Forward,189250,S. Rondón,13,13,7,5,14,,73,53
Defender,189472,Aridane,15,12,9,11,8,,67,53
Defender,201454,F. Ghoulam,12,7,8,8,13,,77,74
Midfielder,198118,J. Guilavogui,14,8,14,10,15,,75,73
Midfielder,202282,S. Armstrong,14,8,13,11,13,,77,74
Midfielder,214947,J. Gbamin,11,13,8,14,10,,78,74
Forward,211784,N. Maupay,11,12,7,8,14,,74,59
Midfielder,212153,R. Gagliardini,12,6,8,7,9,,77,74
Midfielder,212245,Y. Gerhardt,13,13,7,11,6,,79,76
Defender,212491,A. Masuaku,8,7,10,7,7,,75,69
Midfielder,212501,L. Dendoncker,14,8,14,14,6,,81,78
Defender,212602,Diego Llorente,8,12,11,9,7,,75,72
Defender,202371,T. Meunier,8,13,15,6,9,,71,72
Midfielder,213655,A. Iwobi,14,7,12,14,11,,77,65
Midfielder,215057,I. Marcone,16,11,12,16,10,,78,77
Midfielder,211454,M. Elneny,7,15,15,12,6,,79,78
Forward,215441,S. Guirassy,11,8,12,12,8,,73,63
Goalkeeper,215502,B. Drągowski,79,73,70,77,80,44.0,35,32
Forward,216258,I. Bebou,10,11,12,11,11,,74,53
Midfielder,216435,S. Lobotka,10,7,16,13,14,,84,77
Forward,216497,M. Philipp,8,12,10,10,9,,76,62
Defender,217196,J. Palomino,9,16,9,8,11,,66,60
Defender,218659,M. Targett,10,15,8,11,14,,74,65
Defender,219145,G. Maripán,7,12,7,16,12,,68,72
Midfielder,211575,André Gomes,12,9,6,14,8,,81,80
Forward,212623,Santi Mina,9,8,14,8,15,,71,65
Defender,211320,D. Rugani,5,10,5,5,5,,69,65
Goalkeeper,206652,Sergio Rico,77,74,77,74,80,47.0,28,26
Defender,202562,J. Roussillon,9,7,13,8,15,,72,72
Goalkeeper,202789,A. Schwolow,76,75,66,76,80,37.0,26,23
Midfielder,202851,G. Defrel,14,15,11,12,7,,67,60
Defender,203177,D. Foulquier,11,7,6,10,14,,75,69
Defender,203487,J. Lascelles,10,15,7,10,15,,64,59
Defender,204876,Clerc,7,14,11,10,14,,73,64
Defender,206493,Y. Abdelhamid,9,11,15,16,9,,75,71
Defender,202493,Aleix Vidal,8,7,8,12,12,,79,68
Midfielder,207421,L. Trossard,14,8,11,7,7,,75,73
Forward,207791,Y. Poulsen,6,11,15,14,8,,73,53
Midfielder,207948,B. Traoré,11,7,7,13,12,,74,68
Defender,208004,J. Veltman,7,10,6,9,11,,74,73
Midfielder,208777,Óliver Torres,7,7,14,6,8,,81,77
Midfielder,210617,Samu Castillejo,13,16,15,8,14,,76,70
Defender,210864,E. Hysaj,12,6,14,9,11,,73,68
Forward,207664,C. Bacca,12,12,8,5,8,,68,55
Forward,228635,Borja Mayoral,12,9,8,15,7,,79,65
Goalkeeper,228789,Robert Sanchéz,76,73,69,75,78,45.0,46,50
Midfielder,228747,O. Idrissi,15,16,8,10,16,,74,68
Defender,228708,L. Martínez Quarta,10,15,12,10,15,,76,74
Midfielder,227234,L. Tousart,11,15,16,10,15,,76,74
Defender,228579,B. Henrichs,8,9,13,12,14,,74,66
Midfielder,227236,A. Zambo Anguissa,11,11,9,8,11,,78,73
Midfielder,230065,S. Serdar,15,8,5,13,10,,75,73
Defender,227222,F. Guilbert,8,14,16,13,7,,72,64
Midfielder,230020,P. Lees-Melou,14,6,12,9,10,,79,77
Midfielder,231416,D. Lukébakio,9,7,14,11,12,,73,61
Midfielder,230613,A. Diawara,11,14,5,11,11,,77,72
Goalkeeper,230727,G. Larsonneur,76,75,72,75,79,52.0,32,30
Defender,231366,P. Lienhart,14,8,11,12,14,,69,62
Defender,231936,B. White,8,11,12,5,6,,76,67
Midfielder,232498,Isi,11,8,10,13,15,,74,72
Midfielder,233556,R. Orsolini,11,11,14,6,12,,76,67
Midfielder,233631,A. Ndiaye,6,7,14,8,9,,69,61
Midfielder,233848,J. Hauge,9,7,14,9,8,,68,63
Defender,226268,F. Dimarco,9,8,12,7,7,,75,73
Defender,226853,J. St. Juste,12,14,9,13,11,,75,71
Midfielder,224158,S. Amrabat,13,13,6,16,12,,80,71
Defender,226229,T. Kehrer,9,9,14,10,12,,73,66
Midfielder,220831,M. Malsa,6,13,11,10,6,,81,79
Midfielder,234171,R. Sallai,7,5,11,14,9,,75,62
Goalkeeper,216065,M. Sportiello,76,74,68,76,78,44.0,32,19
Midfielder,216433,A. El Ghazi,13,9,7,14,11,,73,54
Forward,216549,A. Sørloth,15,12,8,15,8,,67,59
Forward,217699,I. Slimani,10,9,6,15,11,,75,73
Defender,220477,M. Caldara,14,9,6,9,5,,63,58
Defender,220570,J. Bednarek,11,13,16,7,9,,65,55
Midfielder,220659,J. Brownhill,8,11,12,7,9,,76,73
Forward,221841,A. Armstrong,10,13,13,12,7,,70,58
Forward,226093,C. Adams,16,13,12,15,9,,70,53
Midfielder,222404,M. Normann,14,6,9,13,7,,77,76
Midfielder,222715,Otávio,8,10,15,12,9,,76,69
Forward,223113,K. Piątek,10,15,10,6,13,,64,35
Midfielder,223154,O. Tufan,6,14,8,7,15,,78,76
Defender,223329,A. Conti,9,13,13,9,10,,74,69
Midfielder,225783,S. Mavididi,6,10,6,8,16,,71,66
