Positions,sofifa_id,short_name,Physic,Defending,Reactions,Aggression,Interceptions,Positioning,Composure,MarkingAwareness,StandingTackle,SlidingTackle,Jumping,Strength
Defender,204082,J. Brooks,76.0,80.0,75,74,76,40,81,78,83,76,74,84
Defender,197837,D. Boyata,83.0,79.0,64,80,77,39,66,77,81,82,85,88
Midfielder,199189,R. Barkley,72.0,57.0,76,74,54,75,80,54,60,51,64,76
Midfielder,199576,Oriol Romeu,81.0,80.0,72,89,81,48,74,80,83,78,65,82
Midfielder,199715,Vitolo,72.0,41.0,78,61,25,78,74,68,21,23,69,76
Defender,199915,L. Dunk,78.0,79.0,82,80,78,30,77,81,78,78,74,83
Goalkeeper,200159,S. Ortega,,,78,29,27,10,59,29,12,15,77,73
Defender,201417,M. Doherty,76.0,75.0,80,76,76,75,70,74,77,75,82,72
Midfielder,201995,Felipe Anderson,59.0,55.0,75,67,69,74,81,47,59,46,33,55
Defender,202849,J. Vestergaard,82.0,79.0,75,85,78,46,72,77,80,75,69,90
Defender,203605,P. Kadeřábek,79.0,72.0,81,78,70,72,76,72,71,78,81,77
Defender,203747,Héctor Bellerín,65.0,73.0,76,72,76,67,70,74,74,76,64,58
Defender,203843,D. Suárez,77.0,76.0,74,89,77,63,74,76,77,78,79,71
Defender,193469,Víctor Ruiz,78.0,79.0,76,79,77,39,70,78,80,81,77,80
Midfielder,229752,D. Sow,79.0,75.0,76,79,78,72,77,75,77,72,73,76
Midfielder,230717,T. Kadewere,71.0,38.0,77,59,30,79,75,34,39,35,79,72
Defender,229971,F. Centonze,79.0,70.0,71,73,70,72,71,72,72,71,75,75
Defender,229942,A. Disasi,83.0,77.0,73,77,76,23,70,78,79,73,72,92
Defender,232144,F. Uduokhai,72.0,80.0,79,68,77,35,72,79,82,80,68,78
Forward,229167,M. Rashica,65.0,46.0,77,67,47,72,79,52,40,36,47,60
Defender,228302,Pedraza,77.0,73.0,75,72,72,75,64,72,76,74,67,76
Midfielder,230965,N. Nández,83.0,76.0,81,87,79,75,80,77,79,73,77,77
Defender,228295,R. Holding,75.0,79.0,78,75,80,40,72,78,81,80,81,78
Midfielder,230899,A. Lookman,62.0,29.0,69,62,32,74,76,27,23,24,64,55
Defender,231633,I. Diop,79.0,78.0,73,79,79,42,70,77,79,78,74,85
Midfielder,230977,M. Almirón,63.0,53.0,78,69,54,75,74,53,55,50,48,53
Midfielder,231102,L. Blas,65.0,58.0,72,55,65,73,78,45,64,60,67,63
Defender,231318,R. Perraud,73.0,72.0,75,85,75,76,69,73,74,70,56,64
Midfielder,231521,E. Palacios,71.0,72.0,69,78,72,67,78,73,76,74,70,63
Defender,231554,J. Justin,70.0,73.0,74,66,70,66,66,73,77,75,64,68
Forward,231628,Rafa Mir,76.0,45.0,75,69,39,74,66,42,43,35,78,82
Midfielder,232104,D. James,63.0,46.0,75,70,42,73,69,54,45,34,53,52
Midfielder,227508,Melero,76.0,73.0,74,68,74,81,72,70,74,70,71,79
Defender,227927,K. Walker-Peters,68.0,73.0,75,70,72,65,73,73,77,74,75,61
Forward,220502,M. Zaccagni,68.0,60.0,76,72,58,77,71,55,62,64,46,66
Defender,226637,Rubén Duarte,69.0,77.0,73,70,74,54,64,78,79,80,60,70
Defender,225793,B. Godfrey,82.0,76.0,74,81,74,46,68,75,78,78,80,83
Midfielder,232999,T. Adams,75.0,74.0,77,78,74,65,76,74,77,69,84,68
Defender,220132,Zaldúa,76.0,76.0,73,82,76,49,67,73,78,74,81,71
Defender,220421,H. Kamara,76.0,71.0,75,77,72,70,74,71,74,75,66,73
Midfielder,220621,S. Benrahma,54.0,38.0,73,52,40,75,74,45,32,23,56,47
Forward,222357,B. Embolo,82.0,51.0,76,78,44,82,74,40,63,38,73,85
Midfielder,222390,Unai López,70.0,68.0,77,72,71,68,76,69,72,59,77,64
Midfielder,222400,H. Winks,68.0,71.0,77,78,75,62,83,73,76,67,52,61
Midfielder,222509,Dani Ceballos,67.0,66.0,75,75,71,72,80,66,70,69,51,61
Goalkeeper,223550,J. Omlin,,,74,22,25,15,55,20,21,24,75,72
Midfielder,223874,V. Rongier,74.0,74.0,75,75,81,70,75,76,80,71,73,69
Goalkeeper,223898,P. Bernardoni,,,67,29,25,15,55,16,12,18,70,68
Defender,224221,J. Andersen,78.0,77.0,75,80,76,34,72,77,78,76,74,83
Midfielder,224422,J. Boga,63.0,37.0,67,56,41,72,73,24,42,34,61,63
Midfielder,225014,G. Castrovilli,68.0,66.0,75,63,68,72,74,64,70,70,58,66
Defender,225024,M. Holgate,77.0,78.0,77,81,78,52,74,78,80,77,78,75
Midfielder,225126,E. Skhiri,73.0,77.0,73,69,84,62,69,78,75,72,75,65
Midfielder,225309,N. Amiri,67.0,50.0,75,57,63,70,72,56,44,34,67,65
Defender,232440,Caio Henrique,59.0,73.0,77,59,74,72,77,73,75,73,70,48
Midfielder,246420,J. Doku,67.0,25.0,75,58,18,74,72,22,28,25,76,68
Defender,234678,J. Mæhle,78.0,66.0,74,73,63,76,70,63,72,70,84,74
Midfielder,240740,C. Hudson-Odoi,59.0,40.0,70,50,32,70,69,43,39,38,64,58
Midfielder,241096,S. Tonali,76.0,72.0,73,80,73,60,74,70,74,72,64,76
Forward,241202,P. Daka,71.0,24.0,77,63,17,80,69,18,24,16,89,67
Midfielder,241508,M. Damsgaard,63.0,48.0,70,64,45,74,74,52,46,40,72,57
Midfielder,241721,Rafael Leão,70.0,27.0,70,60,24,74,76,22,24,21,62,76
Goalkeeper,242656,I. Meslier,,,72,27,19,8,67,22,17,19,42,53
Midfielder,243282,D. McNeil,67.0,53.0,75,57,46,73,77,57,54,44,68,65
Defender,243388,B. Sosa,69.0,71.0,74,65,71,64,69,71,72,70,67,67
Defender,244263,A. Rrahmani,80.0,78.0,69,78,73,49,65,78,82,80,72,85
Midfielder,244892,S. Diop,53.0,52.0,76,64,56,76,77,52,58,42,53,36
Defender,245037,Eric García,72.0,79.0,78,76,80,42,79,79,78,77,73,73
Forward,245158,L. Suárez,79.0,40.0,75,80,44,79,63,26,48,28,62,81
Midfielder,245541,G. Reyna,71.0,36.0,77,57,33,72,76,35,35,37,66,75
Midfielder,246172,S. Chukwueze,62.0,36.0,72,47,33,75,72,40,32,33,67,63
Forward,246242,B. Dia,75.0,27.0,74,60,22,79,60,28,17,14,74,83
Defender,247257,Ibañez,77.0,79.0,81,76,80,32,64,80,79,79,69,77
Defender,253163,R. Araujo,76.0,79.0,73,76,73,38,72,79,82,78,76,81
Defender,219681,J. Amavi,76.0,75.0,74,74,78,71,71,74,75,73,83,73
Defender,241049,Gorosabel,68.0,75.0,72,59,75,65,66,73,77,74,70,67
Forward,240690,N. González,60.0,45.0,75,67,39,79,75,38,46,39,79,55
Midfielder,234772,Salvi Sánchez,53.0,39.0,67,53,39,69,66,36,39,41,59,43
Forward,239901,S. Kalajdžić,70.0,45.0,78,44,32,80,72,39,46,47,55,82
Goalkeeper,234777,Z. Steffen,,,72,31,19,9,56,13,12,12,71,69
Goalkeeper,234833,F. Müller,,,75,25,19,11,38,20,11,12,58,67
Midfielder,235794,E. Eze,68.0,47.0,70,58,49,71,77,36,57,40,67,68
Midfielder,235889,C. Ünder,52.0,37.0,71,37,29,75,68,43,33,30,47,50
Midfielder,235945,Marc Roca,68.0,70.0,72,71,75,60,74,73,73,71,57,66
Defender,236403,E. Ndicka,76.0,77.0,76,74,75,67,78,77,79,74,72,78
Midfielder,236477,A. Claude-Maurice,68.0,68.0,68,65,70,75,75,69,71,58,71,67
Midfielder,236496,M. Guendouzi,76.0,72.0,75,82,75,67,74,72,73,70,69,72
Midfielder,236499,Douglas Luiz,69.0,74.0,80,74,74,52,77,77,75,71,66,66
Defender,236532,R. Koch,75.0,78.0,75,73,77,52,74,79,79,76,66,78
Midfielder,236593,C. Stengs,59.0,33.0,79,42,27,75,78,37,31,30,55,58
Midfielder,236639,Xeka,77.0,71.0,74,81,73,65,75,72,70,67,80,75
Midfielder,236772,D. Szoboszlai,64.0,34.0,73,40,32,63,80,35,30,25,69,69
Forward,236786,M. Terrier,66.0,35.0,76,55,27,79,74,34,31,34,72,68
Defender,238160,M. Demiral,80.0,79.0,68,85,78,26,72,78,83,79,71,84
Midfielder,238744,W. McKennie,83.0,76.0,76,81,76,78,76,74,77,77,92,81
Defender,239093,J. Clauss,71.0,67.0,75,67,68,72,68,64,72,70,64,64
Forward,220085,L. Waldschmidt,62.0,29.0,74,44,28,82,72,33,19,18,66,64
Goalkeeper,219522,J. Ledesma,,,72,23,20,13,41,13,13,12,67,63
Defender,192816,L. Cabrera,82.0,78.0,75,84,77,40,58,78,78,78,86,83
Midfielder,190432,Oier,74.0,74.0,69,78,76,69,61,73,78,75,78,73
Defender,193254,C. Trimmel,80.0,74.0,73,78,76,66,70,74,75,69,59,81
Forward,193290,M. Braithwaite,74.0,35.0,77,69,31,78,76,35,30,26,81,75
Defender,193601,G. Pezzella,73.0,79.0,69,79,78,47,72,78,81,77,81,77
Defender,194229,Hugo Mallo,74.0,74.0,80,76,78,46,70,69,77,77,79,69
Defender,194806,C. Dawson,76.0,79.0,76,76,80,56,69,79,78,77,82,78
Midfielder,194932,A. Townsend,67.0,38.0,75,76,37,74,72,41,35,34,44,62
Forward,195093,Willian José,80.0,40.0,78,75,35,80,77,40,32,30,79,88
Defender,195272,M. Faraoni,76.0,70.0,74,77,70,77,71,70,72,73,71,72
Midfielder,197083,D. Caligiuri,76.0,71.0,77,72,72,75,74,71,73,68,77,75
Defender,197948,F. Lejeune,76.0,78.0,78,81,81,46,77,80,76,74,77,82
Goalkeeper,199005,M. Ryan,,,71,36,23,10,64,10,20,17,78,65
Goalkeeper,199641,M. Sels,,,74,29,17,18,62,14,15,14,70,67
Goalkeeper,200110,M. Bizot,,,79,39,17,13,47,11,12,14,67,64
Midfielder,200215,S. Rode,77.0,76.0,76,85,79,69,78,77,77,75,76,74
Defender,200536,N. Schulz,77.0,72.0,75,75,76,72,74,72,73,74,63,79
Goalkeeper,201325,C. Tătărușanu,,,74,33,26,13,44,12,15,12,65,73
Defender,201377,J. Murillo,78.0,77.0,73,88,79,45,75,73,80,78,88,78
Midfielder,190875,J. Kucka,87.0,77.0,79,86,78,75,75,77,77,78,90,87
Defender,190149,De Marcos,78.0,70.0,75,77,73,73,75,72,70,72,77,73
Defender,201505,David López,76.0,78.0,72,77,78,60,70,78,77,76,78,80
Defender,190143,Cote,69.0,77.0,77,72,78,70,71,75,78,76,68,67
Goalkeeper,146748,Diego López,,,73,40,16,11,65,16,13,14,66,73
Midfielder,219391,G. Escalante,75.0,75.0,72,85,78,64,80,74,76,77,74,71
Forward,146758,Soldado,69.0,44.0,79,83,41,84,76,38,41,40,75,72
Forward,154472,Jorge Molina,70.0,41.0,84,77,41,85,79,45,32,19,46,88
Defender,165109,Ș. Radu,73.0,82.0,80,75,86,55,76,82,82,82,62,70
Goalkeeper,170597,T. Krul,,,72,36,19,8,52,14,17,14,72,63
Forward,173608,Joselu,70.0,30.0,79,63,25,80,66,23,27,20,80,76
Forward,176600,K. Gameiro,67.0,41.0,76,66,38,81,78,44,33,39,83,64
Defender,179789,D. Da Silva,78.0,78.0,72,81,78,39,73,79,78,77,81,79
Midfielder,181098,M. Hasebe,62.0,76.0,74,63,80,60,85,82,74,71,67,62
Forward,181820,S. Jovetić,60.0,35.0,77,50,30,79,78,31,32,30,73,70
Defender,183353,Víctor Díaz,75.0,75.0,75,75,76,62,64,71,77,77,87,71
Midfielder,183899,P. Piatti,56.0,47.0,75,63,51,77,70,52,35,38,76,47
Midfielder,188103,Rochina,68.0,54.0,73,65,53,73,82,51,57,53,63,71
Midfielder,188988,M. Lanzini,42.0,32.0,72,48,27,73,76,27,36,25,75,31
Forward,189250,S. Rondón,81.0,32.0,76,76,26,80,76,29,28,18,77,87
Defender,189472,Aridane,84.0,76.0,72,78,76,35,66,75,76,77,87,89
Defender,201454,F. Ghoulam,69.0,75.0,71,74,74,69,75,75,77,77,71,65
Midfielder,198118,J. Guilavogui,78.0,80.0,77,80,83,61,75,79,77,80,75,80
Midfielder,202282,S. Armstrong,72.0,65.0,77,69,69,76,70,63,67,60,71,68
Midfielder,214947,J. Gbamin,77.0,77.0,74,84,77,65,72,78,79,71,77,79
Forward,211784,N. Maupay,71.0,41.0,79,80,26,82,69,30,55,33,59,67
Midfielder,212153,R. Gagliardini,75.0,77.0,72,78,78,68,74,78,78,77,62,75
Midfielder,212245,Y. Gerhardt,76.0,72.0,78,75,74,74,72,76,70,74,64,76
Defender,212491,A. Masuaku,70.0,70.0,74,65,69,65,75,66,75,74,70,67
Midfielder,212501,L. Dendoncker,82.0,78.0,73,75,77,76,77,78,78,75,73,85
Defender,212602,Diego Llorente,78.0,76.0,75,85,82,43,72,73,73,76,82,78
Defender,202371,T. Meunier,80.0,73.0,72,73,75,75,74,69,75,80,72,83
Midfielder,213655,A. Iwobi,68.0,38.0,74,54,35,75,73,38,41,31,47,72
Midfielder,215057,I. Marcone,80.0,73.0,74,80,75,68,77,73,75,72,54,81
Midfielder,211454,M. Elneny,74.0,73.0,74,73,75,63,75,74,74,72,69,68
Forward,215441,S. Guirassy,76.0,38.0,74,72,29,79,72,42,29,34,77,80
Goalkeeper,215502,B. Drągowski,,,72,19,21,15,65,20,16,16,57,56
Forward,216258,I. Bebou,64.0,34.0,77,40,31,80,73,26,35,33,70,67
Midfielder,216435,S. Lobotka,64.0,69.0,73,57,72,66,74,69,76,68,79,56
Forward,216497,M. Philipp,61.0,42.0,77,36,39,76,69,39,48,34,59,67
Defender,217196,J. Palomino,81.0,79.0,78,82,82,28,74,79,78,78,34,90
Defender,218659,M. Targett,68.0,73.0,74,63,77,62,65,74,75,72,61,66
Defender,219145,G. Maripán,80.0,78.0,75,80,77,40,71,78,79,74,68,91
Midfielder,211575,André Gomes,74.0,69.0,75,77,71,72,84,71,68,65,59,77
Forward,212623,Santi Mina,72.0,49.0,77,69,55,81,69,39,46,49,81,71
Defender,211320,D. Rugani,72.0,79.0,78,72,82,28,70,79,78,77,79,76
Goalkeeper,206652,Sergio Rico,,,72,25,17,11,55,16,13,11,63,53
Defender,202562,J. Roussillon,73.0,73.0,77,72,76,69,77,73,73,71,71,72
Goalkeeper,202789,A. Schwolow,,,79,26,13,10,34,16,17,9,72,67
Midfielder,202851,G. Defrel,51.0,36.0,75,53,37,79,75,50,15,18,42,53
Defender,203177,D. Foulquier,77.0,73.0,76,70,74,72,68,73,75,74,74,78
Defender,203487,J. Lascelles,79.0,77.0,74,82,76,23,73,78,77,76,83,83
Defender,204876,Clerc,73.0,70.0,73,62,73,72,73,71,72,72,73,72
Defender,206493,Y. Abdelhamid,83.0,78.0,74,81,77,38,73,78,80,76,83,85
Defender,202493,Aleix Vidal,70.0,72.0,77,80,76,69,73,75,70,74,76,66
Midfielder,207421,L. Trossard,61.0,30.0,72,47,18,75,80,30,31,18,78,60
Forward,207791,Y. Poulsen,81.0,56.0,80,83,51,81,72,53,59,32,83,78
Midfielder,207948,B. Traoré,66.0,45.0,69,60,54,73,74,40,40,37,75,65
Defender,208004,J. Veltman,76.0,79.0,77,82,79,55,78,78,82,77,78,74
Midfielder,208777,Óliver Torres,54.0,63.0,76,61,67,74,81,65,63,58,52,42
Midfielder,210617,Samu Castillejo,53.0,43.0,75,48,50,75,72,45,43,25,60,48
Defender,210864,E. Hysaj,72.0,75.0,73,78,76,63,74,74,78,77,68,66
Forward,207664,C. Bacca,65.0,33.0,76,58,34,83,76,40,16,14,72,72
Forward,228635,Borja Mayoral,68.0,38.0,76,48,37,82,82,40,29,24,84,73
Goalkeeper,228789,Robert Sanchéz,,,71,27,8,7,55,18,13,15,70,66
Midfielder,228747,O. Idrissi,69.0,35.0,71,68,25,73,74,36,37,34,35,69
Defender,228708,L. Martínez Quarta,78.0,75.0,70,80,72,52,79,72,77,75,85,79
Midfielder,227234,L. Tousart,82.0,77.0,71,81,78,57,68,77,78,74,80,81
Defender,228579,B. Henrichs,69.0,73.0,74,68,74,62,75,73,74,74,66,68
Midfielder,227236,A. Zambo Anguissa,82.0,74.0,74,84,78,73,79,70,79,68,76,84
Midfielder,230065,S. Serdar,79.0,74.0,77,85,76,69,70,72,75,73,84,76
Defender,227222,F. Guilbert,78.0,74.0,70,78,76,63,71,71,77,76,82,77
Midfielder,230020,P. Lees-Melou,74.0,67.0,74,69,67,75,77,71,69,61,68,72
Midfielder,231416,D. Lukébakio,60.0,31.0,76,28,26,75,74,31,29,24,68,68
Midfielder,230613,A. Diawara,71.0,72.0,75,80,74,54,78,73,74,72,54,68
Goalkeeper,230727,G. Larsonneur,,,71,25,17,17,52,15,20,12,70,59
Defender,231366,P. Lienhart,73.0,78.0,75,73,74,29,69,76,81,79,69,76
Defender,231936,B. White,76.0,77.0,75,75,78,39,75,78,77,78,79,74
Midfielder,232498,Isi,65.0,39.0,72,53,41,72,74,39,41,37,81,64
Midfielder,233556,R. Orsolini,65.0,39.0,74,44,40,67,74,52,26,24,59,72
Midfielder,233631,A. Ndiaye,67.0,46.0,68,75,41,74,75,41,52,35,78,65
Midfielder,233848,J. Hauge,66.0,42.0,70,45,39,71,74,43,43,37,55,67
Defender,226268,F. Dimarco,62.0,70.0,67,65,75,72,59,67,72,73,51,54
Defender,226853,J. St. Juste,73.0,78.0,75,70,80,64,68,79,78,76,85,71
Midfielder,224158,S. Amrabat,78.0,73.0,74,75,74,68,82,77,73,67,69,80
Defender,226229,T. Kehrer,78.0,77.0,69,76,76,53,69,75,78,79,84,80
Midfielder,220831,M. Malsa,77.0,75.0,73,75,77,63,74,74,80,73,68,75
Midfielder,234171,R. Sallai,61.0,37.0,74,59,39,76,65,32,37,38,64,61
Goalkeeper,216065,M. Sportiello,,,74,23,29,18,65,26,17,13,68,66
Midfielder,216433,A. El Ghazi,69.0,35.0,79,55,28,78,72,40,28,15,52,75
Forward,216549,A. Sørloth,83.0,36.0,74,74,36,78,79,39,23,21,65,88
Forward,217699,I. Slimani,80.0,47.0,78,84,50,81,78,42,48,24,80,86
Defender,220477,M. Caldara,71.0,79.0,69,76,78,34,74,77,81,80,76,77
Defender,220570,J. Bednarek,77.0,78.0,77,78,81,26,62,76,78,74,81,80
Midfielder,220659,J. Brownhill,76.0,74.0,77,74,81,69,74,72,76,66,84,69
Forward,221841,A. Armstrong,71.0,35.0,76,79,41,78,75,36,23,25,84,61
Forward,226093,C. Adams,77.0,40.0,74,74,36,77,71,33,42,36,76,79
Midfielder,222404,M. Normann,81.0,71.0,71,75,75,68,72,70,73,68,78,82
Midfielder,222715,Otávio,76.0,75.0,78,78,80,61,75,76,76,71,75,74
Forward,223113,K. Piątek,71.0,36.0,75,54,31,81,75,33,34,24,80,76
Midfielder,223154,O. Tufan,82.0,73.0,71,79,76,74,76,70,76,73,72,79
Defender,223329,A. Conti,64.0,73.0,72,69,72,72,72,74,74,74,52,56
Midfielder,225783,S. Mavididi,67.0,27.0,69,45,24,75,69,27,18,20,73,74
Defender,225859,M. Niakhaté,78.0,76.0,74,77,76,39,69,77,74,72,77,83
Midfielder,225951,D. Bouanga,69.0,38.0,74,65,38,76,72,45,27,19,67,67
Midfielder,234078,O. Mangala,71.0,71.0,80,71,72,64,80,74,72,73,67,69
Defender,253290,M. Viña,69.0,69.0,71,55,69,66,68,70,71,71,77,66
Defender,234574,Diogo Dalot,75.0,72.0,74,78,74,70,76,70,74,70,84,74
Midfielder,244393,Gonzalo Villar,72.0,71.0,74,80,72,60,74,75,74,68,56,68
Forward,242348,Loren,74.0,32.0,78,75,21,78,70,41,19,23,70,76
Midfielder,242374,M. Barrow,63.0,31.0,77,40,20,78,67,45,20,16,53,68
Defender,242578,B. Badiashile,76.0,77.0,74,68,78,44,73,78,78,72,79,84
Defender,242663,S. Bornauw,76.0,78.0,74,81,75,48,68,79,76,80,67,79
Midfielder,242664,A. Saelemaekers,68.0,62.0,75,67,64,72,70,65,65,61,77,59
Midfielder,242816,Riqui Puig,63.0,58.0,72,65,61,64,77,53,65,53,55,62
Midfielder,244261,L. Majer,59.0,54.0,70,57,61,65,73,53,59,28,50,49
Goalkeeper,244316,Luís Maximiano,,,76,12,9,6,56,21,15,13,63,68
Defender,244749,N. Aguerd,77.0,76.0,74,76,76,42,65,75,78,74,86,75
Midfielder,234711,J. Brekalo,52.0,35.0,73,38,30,75,68,33,39,29,63,49
Midfielder,244778,Trincão,69.0,37.0,79,53,32,74,84,35,34,32,63,71
Defender,244915,M. Salisu,79.0,76.0,68,78,75,35,58,76,78,75,74,87
Defender,245388,J. Todibo,76.0,77.0,70,72,75,41,74,76,80,73,77,81
Midfielder,246785,Bryan Gil,35.0,26.0,76,32,21,79,82,25,29,22,51,30
Midfielder,251566,Gabriel Martinelli,67.0,44.0,74,75,37,74,73,44,40,43,55,61
Defender,251804,S. Dest,66.0,67.0,76,68,68,75,73,67,70,69,56,60
Midfielder,253004,Ansu Fati,53.0,29.0,74,48,19,69,76,23,32,28,73,48
Defender,215699,Y. Sabaly,70.0,73.0,73,67,75,72,70,75,75,73,70,68
Midfielder,241707,P. Gueye,79.0,72.0,76,79,75,63,73,70,76,72,73,79
Defender,241497,C. Dagba,61.0,72.0,69,68,75,69,70,73,73,74,67,53
Defender,240915,Miranda,66.0,71.0,72,67,70,68,62,67,75,74,73,62
Defender,240754,Y. Atal,69.0,70.0,73,78,73,74,77,69,72,71,72,65
Midfielder,235149,J. Schouten,70.0,74.0,75,69,78,62,70,76,75,69,74,65
Midfielder,235424,D. Samassékou,74.0,76.0,75,80,86,55,79,75,75,73,75,68
Defender,235875,Pol Lirola,70.0,71.0,72,70,70,66,70,70,74,73,68,66
Midfielder,235944,Brais Méndez,63.0,50.0,74,45,55,77,78,49,49,44,64,69
Midfielder,236221,D. Brašanac,73.0,72.0,77,82,70,75,75,72,75,72,65,71
Midfielder,236276,A. Danjuma,67.0,42.0,72,55,32,71,73,35,52,47,61,69
Midfielder,236679,Melendo,60.0,48.0,70,63,50,75,66,50,47,40,60,55
Midfielder,236920,J. Kluivert,58.0,37.0,71,63,25,68,74,47,32,27,62,52
Midfielder,237184,K. Bare,77.0,73.0,75,83,77,70,71,75,74,70,60,73
Defender,238095,N. Milenković,81.0,76.0,74,80,76,22,70,77,78,77,73,85
Midfielder,238227,K. Diatta,69.0,47.0,70,57,48,65,71,55,32,50,94,62
Defender,239580,Bremer,74.0,77.0,71,78,78,28,64,75,80,74,77,81
Defender,239890,O. Kabak,79.0,74.0,71,80,72,30,75,72,76,75,84,85
Forward,239956,M. Boadu,66.0,28.0,80,47,23,79,73,29,22,18,83,68
Midfielder,240273,E. Smith Rowe,61.0,32.0,72,52,28,78,68,37,30,31,34,61
Midfielder,240458,Ander Guevara,70.0,73.0,77,68,73,66,74,72,81,70,64,67
Defender,240716,M. Olivera,77.0,74.0,78,79,75,63,70,72,76,75,75,75
Forward,215785,K. Baldé,70.0,30.0,70,54,31,74,79,17,29,28,78,75
Defender,210719,M. Kempf,77.0,76.0,68,79,79,33,64,74,77,74,91,80
Forward,215689,A. Petagna,81.0,34.0,73,62,22,79,74,40,27,20,79,92
Midfielder,201262,V. Darida,63.0,70.0,75,56,69,72,79,72,74,65,76,48
Defender,192641,K. Vogt,75.0,77.0,76,69,80,55,80,75,77,76,57,83
Goalkeeper,192665,A. Luthe,,,73,22,21,12,23,16,14,12,61,74
Midfielder,193116,M. Gonalons,72.0,75.0,75,81,77,60,73,73,78,75,77,72
Goalkeeper,193331,K. Darlow,,,68,13,26,18,53,17,11,12,69,60
Defender,193352,R. Rodríguez,74.0,75.0,72,74,77,64,77,74,77,75,73,74
Midfielder,193683,X. Chavalerin,76.0,70.0,73,71,76,60,66,69,73,69,63,71
Midfielder,193881,F. Đuričić,60.0,42.0,75,45,42,70,71,45,35,43,73,67
Midfielder,194794,A. Yarmolenko,67.0,42.0,79,76,54,77,74,37,35,30,36,75
Forward,194845,W. Khazri,67.0,42.0,77,75,53,79,80,31,46,30,34,67
Goalkeeper,195668,Joel Robles,,,70,23,22,13,54,11,11,14,59,72
Midfielder,198368,Tomás Pina,72.0,73.0,78,76,77,71,70,67,77,70,66,72
Midfielder,198719,N. Redmond,53.0,30.0,72,38,30,78,68,33,26,30,39,50
Defender,199393,N. Pallois,85.0,76.0,67,89,75,22,73,75,77,76,79,92
Midfielder,199561,Nolito,62.0,45.0,79,73,50,78,77,49,39,27,61,62
Defender,199577,Sergi Gómez,73.0,78.0,71,73,76,52,67,79,79,75,80,77
Defender,199633,M. Lowton,74.0,76.0,73,76,75,66,74,76,77,75,77,71
Goalkeeper,200316,T. Horn,,,79,41,22,15,25,14,13,12,64,67
Defender,200677,Pedro Mendes,81.0,77.0,70,87,78,32,69,77,78,75,77,83
Defender,201118,Cédric,66.0,72.0,74,75,74,71,69,68,76,74,72,57
Defender,192041,N. Araújo,78.0,78.0,71,65,76,30,71,79,78,76,66,88
Midfielder,190765,P. Groß,71.0,58.0,77,69,58,75,79,56,60,59,71,68
Forward,190362,T. Pukki,68.0,34.0,83,56,44,84,81,30,29,16,68,69
Goalkeeper,172723,A. Begović,,,70,42,21,11,58,18,11,12,38,79
Goalkeeper,104389,R. Jarstein,,,70,34,19,15,50,12,11,13,59,70
Defender,158625,Dante,76.0,78.0,72,74,76,41,77,78,79,78,67,85
Midfielder,162895,Cesc Fàbregas,55.0,62.0,76,54,64,68,84,68,58,53,50,62
Goalkeeper,163264,T. Heaton,,,71,31,24,12,62,16,15,13,73,66
Midfielder,164859,T. Walcott,59.0,39.0,76,65,35,74,74,37,39,36,59,55
Defender,169705,R. Bertrand,71.0,73.0,70,77,76,63,73,70,76,75,72,69
Midfielder,169706,J. Cork,77.0,75.0,74,75,77,63,79,76,76,70,75,75
Defender,170320,L. De Silvestri,75.0,73.0,74,71,72,74,72,72,73,73,73,78
Defender,173208,D. Criscito,71.0,78.0,75,78,79,68,74,80,79,78,78,69
Midfielder,189712,K. Strootman,77.0,75.0,75,80,79,73,80,69,83,64,49,80
Midfielder,181318,A. Ekdal,76.0,70.0,74,83,72,70,76,72,72,64,63,71
Defender,182495,M. Cáceres,75.0,77.0,70,78,78,50,78,76,78,78,91,74
Midfielder,183130,M. Albrighton,66.0,61.0,74,73,56,72,70,69,62,57,61,60
Forward,183569,E. Choupo-Moting,73.0,38.0,75,57,40,76,75,31,36,20,70,80
Defender,184190,R. Thomas,73.0,78.0,71,76,76,28,73,78,79,76,69,85
Midfielder,184826,Adrien Silva,67.0,69.0,75,79,76,71,78,60,75,70,51,63
Defender,215399,Rúben Vezo,76.0,77.0,73,77,77,45,70,76,79,80,80,77
Midfielder,189251,S. Rudy,66.0,73.0,77,57,79,67,80,77,72,69,65,64
Midfielder,201144,M. Badelj,72.0,73.0,69,74,74,62,69,73,75,69,54,68
Defender,186156,L. Ayling,75.0,76.0,74,66,75,67,74,75,80,78,76,74
Defender,201389,C. Biraghi,69.0,72.0,74,74,74,69,70,74,73,70,72,66
Midfielder,212127,D. Lazović,56.0,61.0,68,67,60,70,68,62,64,62,44,39
Defender,208001,Paulo Otávio,59.0,70.0,71,74,78,59,68,72,70,76,73,45
Forward,208498,M. Dabbur,68.0,32.0,77,39,19,80,76,22,37,27,90,74
Defender,208509,T. Foket,77.0,73.0,70,72,74,68,69,73,76,74,86,71
Midfielder,208787,A. Thomasson,69.0,65.0,76,67,68,78,77,63,68,57,72,65
Defender,210047,F. Schär,75.0,77.0,74,73,79,62,74,74,78,76,77,78
Defender,210384,R. Haps,72.0,68.0,71,72,73,70,67,65,71,68,76,66
Midfielder,210438,F. Boulaya,54.0,26.0,68,48,29,75,77,21,22,28,56,50
Midfielder,210896,M. Sanson,77.0,70.0,76,73,71,74,77,68,74,71,76,76
